,comment,sentiment
0,이거 그거같다 그 분노의질주 더 익스트림에서 샤를리즈 테론(사이퍼)이 좀비 타임 하면서 전부다 폐차만들어놓은거,0.0
1,아니 ㅋㅋ 브레이크등 왜 안들어오냐고 아 ㅋㅋ,0.0
2,볼보운전자보다.제가 운전경력 삼십년 가까이 됩니다.<br>그동안 대우차 현대차 쉐보레차.중형급 신차만 뽑아서 운전해본 결과. 외제차는 무조건 걸러야 된다고 봅니다.사고시 부품비 인건비가 타 국산차에 비해.비쌉니다.<br>물론 잘들 아시겠지만.국산차는 해외수출용보다.헉소리 나오게 국민들 뒷북치게 만드시는거 알거에요.<br><br>그래도 국내브랜드차량이.<br>써비스쎈타도 많고.부품 준비돼있고.<br>외제차보다 추천드립니다.,0.0
3,주차부터 멋지게 하셨네요~,0.0
4,운전 실력 굳 국기게양대 파워 클라스 인정,0.0
5,자동회피로 트럭은 피한거 아닌가?,0.0
6,저기 우리 동넨데,0.0
7,그래도 현기 만 할까,0.0
8,수동 타는데 현기차고 수입차고 쌍용차고 급발진 사고가 일어 나네요;; ; 너무 무섭다. <br>이럴때 수동 짱짱맨,0.0
9,"3달된 사고를 지금 엠빅이 올린다?<br>이건 운전자가 언론 플레이 하려는거임.<br><a href=""https://youtu.be/MmOuXHT_Rpg"">https://youtu.be/MmOuXHT_Rpg</a><br>이거 사고 블랙박스 풀영상인데 들어가서 댓글보셈 운전자가 실수한거임<br>김여사가 중립놨다가 엑셀을 브레이크로 착각하고 엑셀밟고 D로 바꿔서 차가 달린거임 ㅋㅋ",0.0
10,안전한 차 맞냐?,0.0
11,그래서 예능에서 볼보 광고가 안보였구나,0.0
12,뉴스 똑띠 안씁니까 브레이크등 단한번도 안들어오는데 이것도 오작동입니까? 브레이크등이 캔통신도 아니고 스위치라 밟으면 들어오는게 정상인데 브레이크보조등 브레이크등 다 안들어오는게 말이됩니까 ㅡㅡ,0.0
13,2억 겨우?,0.0
14,키햐..급발진나면 고객탓 국내나 국외나 ㅋㅋ,0.0
15,"전기차를 타면 <a href=""https://www.youtube.com/watch?v=tx4bZDM_mok&amp;t=2m26s"">2:26</a> 이렇게 될 수 있는거니까.. 어떻게탐...",0.0
16,근데 브레이크등 안들어온거같은데;;,0.0
17,저차가 파킹브레이크가 전자식인지 아날로근진 모르겠는데 아날로그는 d에놓고 파킹 브레이크 댕겨놓고 사이드 내리는 순간 확튀어나가면서 급발진하는 경우 있긴함,0.0
18,전자식의 큰문제점이지..,0.0
19,ㅇㅋ 볼보안타는걸로,0.0
20,브레이크등이 안들어오는데 ?아닌가?,0.0
21,덤프트럭타야됨 급발진없고 튼튼하고,0.0
22,안전우선인 볼보는 어떻게 처리할지,0.0
23,"공포의 19초, 영상은 4분 26초..",0.0
24,중국 지리차가 대주주로 되더니 별일이 다 일어나는군,0.0
25,차 이상하면 바로 박아야함. 속도 붙으면 끝,0.0
26,엄청나게 와 소름 무섭네요 ㅜㅜ,0.0
27,저렇게 달릴때 사람 안친게 정말 다행이네요...,0.0
28,와 다리떨려요 진짜 무서워 저런상황에서 어떻게해야하는지 감도 안잡힌다...,0.0
29,처음부터 끝까지 브레끼등 안들어옴....끝!!!,0.0
30,보는것만으로도 공포네요,0.0
31,근디 CCTV상으로는 브레이크 밟힌 흔적이 안보이는걸로 보아서 급발진 인정받긴 힘들어보이네요,0.0
32,결코 자동이 좋은건 아니다 수동 장치는 좀 살려 놔라,0.0
33,19초전ㄷㄷ,0.0
34,46초전ㄷㄷ,0.0
35,ㄷㄷ,0.0
36,짱구 택시편에서 나오는 하늘로 날아서 낙하상 펼치고 떨어지는 거라도 좀 만들어줬으면... 반자율주행도 가능한데 그런기능하나쯤 넣어주세요.. 안전띠도 못한채로 핸들도 안먹고 얼마나 무서웠을까ㅜㅜ,0.0
37,대한민국 법이 도대체 왜 있는거지 국민을 가장먼저 위해야하는거아닌가,0.0
38,아니믄 잔투기처럼 비상탈출 버튼 누르면 선루프 열리면서 운전석 시트랑 같이 하늘로 날려 보내는걸 달거나?,0.0
39,볼보여서 살아있는것을 다행이라고해야하나...<br>와... 볼보 급발진.입증하기.어렵다는데.,0.0
40,중국산 끝,0.0
41,우리 흉기를 보십시요 볼보양반 ㅋㅋ 우리는<br>이걸 우전미숙이라 결정합니다 허허허,0.0
42,트렁크 안에 낙하산 같은거 달면 안되나?<br>그 어느정도 속도에선 트렁크 열리고 펼쳐져서 감속 되게,0.0
43,볼보 좋네 볼보 사야징,0.0
44,아자씨~저 영상 보면서 그렇게 밖에 말씀 못 하십니까? 아자씨~~~~~,0.0
45,자율주행이  좋은것만은 아니야 내가제어하려 해도 안되잖아 앞으로는 이런 끔찍한 일들이  많을것이다,0.0
46,행동요령<br>1. 시동을 끄지말기(핸들 잠길 위험)<br>2. 풋브레이크를 꾹 밟기(나눠 밟기 금지)<br>3. 기어를 중립으로 바꾼다.(또는 엔진브레이크 이용)<br>4. 속도가 줄어들면 사이드브레이크 올린다.(확 올리면 드리프트 발생 위험)<br>5. 최후의 수단 가드레일과 같은 주변 안전한 지형지물을 이용해 벽을 긁으면서 속도를 줄인다.<br><br>사전에 풋블랙박스를 설치한다!!!,0.0
47,현대 기아가 더심한데 답이없다.,0.0
48,이 사고 역시 운전자 과실로 몰아가겠죠... 늘 그랬던것처럼...,0.0
49,근데 브레이크는 왜 안잡냐 운전미숙 90퍼 이상,0.0
50,브레이크 등 불 들어온 상태인데 질주합겁니다..눈을 크게 뜨고 보세요,0.0
51,진짜 이쯤되면 급발진 대비해서 차량바퀴 강제수동 탈출이나 강제 엔진 폭파 기능이라도 넣어야하는게 아닐까 싶다.,0.0
52,볼보 이제 중국차 아닌가,0.0
53,내가 전자장비를 별로 안좋아하는 이유 중 하나지..,0.0
54,출발하자말자 사이드로 받아야지,0.0
55,지금 차가 로체 이노베이션 2010식인데 저런 전자식으로 된차의 오작동 때문에 겁나서 차를 못사겠다 요즘은 다 저런 차들이 많아서 겁난다 겁나,0.0
56,저리 달리는데 브레이크등이 안들어올꼬 ㅋㅋ<br><br>급발질이라 주장하는사고중 대부분은 그냥 운전미숙,0.0
57,브레이크등 안 들어오는데...급발진 맞어?다른급발진사고는 브레이크등 들어오고도 급발진 되드만..,0.0
58,자동 시스템 맹신하다 잘못되면 큰 사고로 이어지더라.,0.0
59,뭐같은 나라 일반인보고 증명하란다<br>결론 일반인이 백프로 못찾는걸 아니깐 <br>전부 너네 잘못이다 라고 암암리에 말하는 논리지,0.0
60,저기요 현기차는 급발진 더 많은데 그거는 안내보내주고 수입차만..ㅎ 내보내는거는 무슨 심보죠?,0.0
61,브레이크등에 불이 들어오지않았어요. 저렇게 전 속력 내는데도 그냥 엑셀 밟고 있는것 같은데요,0.0
62,뺄수있다면 자율주행 등등 전자식은 다빼야겠구만 새차뽑기 겁나네,0.0
63,어린이 보호구역아닌가? 불법주정차 잘봤습니다~,0.0
64,믿고거르는 중국산. 중국자 들어가면 망한다. 롤판도 망조들음,0.0
65,국회의원일이 아니니 대충넘어가는거지 ㅋㅋㅋㅋ,0.0
66,장애인데 2억원... 이러니 기업들이 소비자를 우습게 알지... 미국처럼 몇백억 소송으로 징벌적 배상을 하게 해야 함.  그나자나 급발진하면 그냥 속도 붙기 전에 핸들 틀어 어디 나무나 가로등 벽에 부딪치는게 날듯...,0.0
67,브레이크 등 안 들어왔는데 저 상황에서 뭘 작동할수 있나??,0.0
68,요즘나오는차들이  급발진차들이 너무만네<br>옛날차들은 이런차들은 없었는대<br>차는 말뚝이좋은건대<br>편리하게만듬만큼 <br>오작동이너무만네<br>다시 말뚝으로갑시다,0.0
69,무섭네요ᆢ,0.0
70,볼보도 중국에 넘어가니 저렇게 되네. 우와 차가 급발진에 통제불능 상태네. 요즘 차는 전자기판이 제어를 하니 작은 불량에도 차가 먹통이 될 수 있지 그에반해 예전 차는 기계식이라 사람이 급발진이 없었지 특히 수동은 급발진 이라는게 없음.,0.0
71,급발진 아닌거같은데,0.0
72,이와중에 어린이 보호구역에 주차 해놓네 ㅋㅋㅋㅋ,0.0
73,브레이크 등이 않보이는디? 급발진도 브레킹등은 들어와야 유리한디...글고 불법 주정차 하셨습니다...,0.0
74,브레이크등이 안들어오는데.....,0.0
75,그 자율시스템이란 것이 컴퓨터시스템이라서 오류가 나면 지멋대로 움직일 수도 있다고 본다. 앞으로의 지동차들은 저런 경우가 허다할 것이라 본다. 컴퓨터도 순서에 맞게 부팅을 하고 종료를 해야 오류가 나지 않는다. 분명히 저건 시스템오류일 가능성이 높다.,0.0
76,걍 바로앞에 차박는게 제일낫나... 내가 저래되면 어떻게하지?,0.0
77,비상상황시 강제종료 버튼좀 마련해라<br>정말 어쩔 수 없을 때만 눌러야할 곳에 넣으면<br>헷갈리지도 않고 좋을 것 같은데,0.0
78,미쳤냐 그럼 더 대형사고난다..<br>자동차가 어떻게 속력이 붙는지<br>어떻게 감속을 하는지도 모르고<br>뭔 컴퓨터도 아니고 강제종료 버튼이야 ㅋㅋㅋ,0.0
79,사면 호구되는 외제차,0.0
80,현기도 저런 사고나면 그냥 자차 처리하고만 하지 손해배상 안해줌. 자국기업인데 더 심함.,0.0
81,자동차가편한도구이면서 <br>자칫하면 남을죽일수도 본인도죽을수있다<br>너무많은 편의장치좋을진몰라도<br>오작동하면죽을수있다,0.0
82,안전의 대명사ㅠㅜ,0.0
83,23년경력ㅜㅜ,0.0
