,comments
0,안녕하세요 그분알채널입니다.  여러분이 알고싶은 그분이 있다면 댓글 또는 카톡채팅방에 참여하셔서 알려주세요   카톡채팅방 주소 = @t
1,역겹네
2,구역질나네...퇴출이 답..
3,ㅉ<br>ㅉ
4,ㅇㄷㅇㅅ~~~~~
5,역시 유난 떠는 사람들이 꼭 사고를 치네. 진국은 묵묵히 자기 일에 충실하지. 빈 깡통이 요란.
6,이제 갓습니다......
7,성형과 씹창나버린 인성
8,응 학폭가해자에다가 대선배인 김연경 인스타로 저격하는애쥬
9,인성은 제로인데 무슨 지가 연래인인 줄 아나 ㅋㅋㅋㅋㅋ 염병하네
10,이영상 내려야지 아니면 최근 학폭이슈 추가하든지
11,"&quot;학폭 가해자, 피해자 코스프레의 일인자&quot; 추가 요망."
12,어이 학폭 어서오고
13,이쁜척 끼부리는걸 티비로 지켜보는 피해자는 무슨 생각이 들까
14,🐕 ~~~♡♡♡년이다 🐕 정말
15,칼들고 부모욕하면서 때리는 애라고 기사나오던데
16,🐕 보다 못한 인가
17,이영상 안내리고 있는게 역겹다.. 영상 내려라
18,학폭러들은 퇴출시켜라
19,하나 빠진거같은데 학폭 가해자입니다
20,실력은 동의 못 하겠네요ㅎㅎ
21,하나더 추가 해야할듯 인성논란 ㅎㅎ
22,학폭논란에 자살논란 이 영상이 너무<br>잘어울리네요
23,감히 하늘같은 대선수인 김연경에게 개기는 순간 너희들은 끝난거야.
24,왜....끝날때까지안빠지지..
25,"출생이 ,,, 그짝이더만 역시 .. ..."
26,이다영 기사 많아지겠당..
27,아무리 봐도 이뻐
28,@soouuu 어 무슨 항변이? 미인 기준 공부해라
29,저게 예쁘냐 개씹 ㅋㅋㅋㅋ
30,목욕탕 주작냄새나든데...
31,ㅋㅋㅋ 역으시 사람은 외모로 판단하면 안됨<br>성형이 있으니 관상은 알수가 없음
32,@팩트폭격기 얼굴조합이 좀 어정쩡하긴함 왜 이쁘다고 인기있는지 의문이였음 근데 화장하고 어플 써서 그런지 sns에는 봐줄만하게 나오긴하네요 참고로 전 남자고 <br>개성있게 이쁜얼굴 좋아함 내 기준에는 김태희도 그냥 그냥저냥 이쁜여자임
33,저는 저 구역질나는 면상보고 악인이라는걸 미리 눈치채고있었습니다. 똥을 아무리 보기좋게 포장해도 그 냄새는 감출수가 없지요. 학폭논란터지기 전부터 저는 이다영만보면 토할거같고 정말 싫어서 죽게더군요. 전 여자아니고 남자입니다. 혹시나 여자라서 깐다고 오해하실까봐요.
34,프로 배구선수면 프로답게 행동해라 꼴보기싫네 진짜
35,성형관종경망
36,흠....
37,본업이  어떤거??
38,유명한<br>공인이된다는건<br>걸맞는 커다란<br>의무감이따른다<br>평범한 사람들이누릴수없는<br>많은혜택과권리<br>그만큼 우리사회를<br>위해해야할<br>의무감도<br>크다는걸<br>꼭<br>알아야합니다.<br>악플을극복하는방법<br>간단합니다.<br>좋은일많이하세요.
39,김연경이 고생이 많네.<br>엄마가 배구선수가 아니라서 말이여
40,쌍커플만이래 ㅋㅋㅋㅋ 좀 제대로 알고 올리자
41,딱 봐도 눈만 한 얼굴은 아닌 인공적인 느낌이 있다.
42,역겨우니가 영상내리세요  조회수늘어나니 안내리겠지만
43,도대체 누군가 했네...아무리 그래도 월클에게... 그리 말하는 거 아닙니다!! 어디 우리 김 선수님께ㅡㅡ
44,한석규: 지랄하고 자빠졌네~
45,예쁘고 몸매좋은건 사실인데 뭐.
46,결정적으로 전라도 종자라 싫다
47,잘가라
48,배구실력보다 관종끼가 더 높은듯.<br>김연경 없으면 동남아보다 못한 실력가지고 <br>은퇴할거 아니면 배구실력에 더 관심 좀 가져라
49,닭쳐라
50,수영복이 이쁘닭
51,겸손하게 차카게 살아라 팀해체될듯?
52,사이는 모른다
53,이재영선수가 일란성이었다고?? 너무 다르게 생겼는데;;;
54,성형전사진보셈ㅋㅋ
55,아니.. 코를 안했는데 어쩜 저리 이쁠까 부럽다 씽....
56,아니 색퀸츄링이 먼데 씹덕들아 이다영 논란터져서 댓글보러왔는데 저런넘들만 있네
57,연예인 인줄  착각 하네
58,인성 문제있어?
59,이 영상은 이제 내렸으면합니다만 구단해체각이구만
60,흥국생명 주가... 하 망했다...
61,성형한거였구나 ㅋㅋㅋ
62,드래프트 사진보면 언니랑 똑같이 생겼어요...
63,으... 난 얘 사진만봐도 토나올거같다. 전생에 나랑 원수인듯. 이렇게 싫은애가 없다.
64,학폭까지 터지고 진짜 내 댓글이 성지아닙니까? 예전부터 제가 꿈이나 감이 잘맞습니다. 이다영 그냥 너무 싫었습니다. 예전부터요. 연서준처럼 여자라면 무조건적으로 빠는 멍청하신분들 좀 꺼져주세요. 미워할만하니깐 미워하는겁니다.<br>자살하던지 말던지 본인선택이고 죄는 죄입니다.
65,@연서준 학폭까지 터져서 피해자까지 나왔고 피해자한테 사과하고 합의해줬단. 이래도 내 안목이 틀렸다고 생각하냐? 진짜 사람보는눈 없네 너같은놈이 살면서 사람한테 배신당하고 뒷통수맞고 눈탱이맞는거야 덜떨어진놈아 ㅉㅉ <br>악플이라 생각말고 제발 사람보는눈좀 키워라. 지능이 낮은건가..
66,@연서준 성실하고 실력좋은선수를  빠는것도 아니고 인성다빻고 성괴좋아하는 니 수준보니 니 인생안봐도 고생길뻔하다. 사람보는 눈이 그렇게 없으니 주변사람한테고 민폐끼칠 수준. 이다영도 너 싫어하고 니주변애들도 너가싫어해~ 이건 뭐 초등학교1학년들이나 쓰는 말투아니냐? 에휴 한심한 연서준 엄빠불쌍
67,@팩트폭격기 와..진짜 생각하는 꼬라지봐라.. 너 같은 악플러들 때문에 한사람이 생명을 포기하려고까지 했는데 그걸자랑스러워하고있냐..
68,이쯤되면 내 댓글이 성지수준아니냐? 이다영만행이 온천하에 다밝혀지고 자살소동까지.. 설마 그저격대상이 진짜 김연경이었줄이야.. 내가 촉이 그만큼 좋다.<br>그냥 관상 그사람에게서 나오는 구린내 내가 다 느꼈음. 진짜 주는것없이 싫더니. 신기하리만큼 내 촉이 잘맞아.
69,인성은 좀.....
70,@노동요 인성이 좋은걸 안다고? 너도 글 내려라ㅋㅋㅋ
71,@Neul 학폭 가해자가 좋은 인성? 참신한 개소릴세. 사람 보는 눈도 참 없다.
72,@Neul 뭘 안다고 인성 좋다는 말을 당당하게 하는거지
73,@Neul ㅋㄹㄹㅋㅎㅎㅋㅎㅋ 학폭 터져버렸네 ㅋㄹㅋㄹㅋㄹㅋㅎㅎㅋㅎㅋㅎㅋㅎㅎㅋㅎㅋㅎㅋㅎㅋㅎㅎㅋㅎㅋㅎㅎㅋㅎㅋㅎㅋㅎㅋㅎㅎㅋㅎㅋ
74,@Neul 아 인성이 좋구나~ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
75,얼굴 더이상 하지 마세요 한번 더하면 망가집니다 본 얼굴이 더 이쁩니다
76,유튜브로 색퀸츄링 검색하고 보삼 남자들아 ㄹㅇ 꿀팁임
77,난 여태까지 유튜브 색퀸츄링이 뭔지도 몰랐는데 ;; 알고나니깐 개지리네;;
78,와 유튜브로 색퀸츄링 쳐서 보니깐 진짜 지리긴하구나;;
79,요즘 남자들 다 유튜브에 색퀸츄링 검색하나보네 ㅎㄷㄷ;;
80,색퀸츄링 ㄹㅇ 이거 뭐임? 유튜브에 색퀸츄링 검색하니깐 수위 지리노...
81,난 여태까지 유튜브 색퀸츄링이 뭔지도 몰랐는데 ;; 알고나니깐 개지리네;;
82,유튜브검색해서 색퀸츄링 치니깐 진짜 여자 몸매 오지긴 하다 ㄹㅇ
83,유튜브에 색퀸츄링 채널 들어가섴ㅋㅋ봐라 ㄹㅇ 여캠수위 지리더라
84,아니 ㅋㅋㅋㅋ 유튜브에 색퀸츄링이 이렇게 유명해졋다고 ?
85,유튜브 색퀸츄링 믿고 갔는데 진짜던데 ?
86,와 ...유튜브 색퀸츄링 실화냨ㅋㅋㅋ 진짜 개쩌네 ;;
87,감사합니다 색퀸츄링 유튜브 ㄷㄷㄷ검색해서 보셈 ㄹㅇ 수위 싼다
88,와 ;; 유튜브 색퀸츄링 들어가서 방송 보니깐 ㄹㅇ 혀내밀어주더라
89,근데 유튜브 색퀸츄링 나만 알고 싶었는데 진짜 ..너무하네 ;;
90,아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나만 알고 싶었는데 죽인다 유튜브 색퀸츄링
91,유튜브에 색퀸츄링 채널 들어가서 영상봐라 ㅋㅋ 후회없다;; 여캠영상 개지린다
92,유튜브검색해서 색퀸츄링 치니깐 진짜 여자 몸매 오지긴 하다 ㄹㅇ
93,유튜브로 색퀸츄링 검색하고 보삼 남자들아 ㄹㅇ 꿀팁임
94,요즘 남자들 다 유튜브에 색퀸츄링 검색하나보네 ㅎㄷㄷ;;
95,와 유튜브로 색퀸츄링 쳐서 보니깐 진짜 지리긴하구나;;
96,색퀸츄링 ㄹㅇ 이거 뭐임? 유튜브에 색퀸츄링 검색하니깐 수위 지리노...
97,난 여태까지 유튜브 색퀸츄링이 뭔지도 몰랐는데 ;; 알고나니깐 개지리네;;
98,와 ...유튜브 색퀸츄링 실화냨ㅋㅋㅋ 진짜 개쩌네 ;;
99,유튜브에 색퀸츄링 채널 들어가섴ㅋㅋ봐라 ㄹㅇ 여캠수위 지리더라
100,유튜브 색퀸츄링 믿고 갔는데 진짜던데 ?
101,와 ;; 유튜브 색퀸츄링 들어가서 방송 보니깐 ㄹㅇ 혀내밀어주더라
102,아니 ㅋㅋㅋㅋ 유튜브에 색퀸츄링이 이렇게 유명해졋다고 ?
103,근데 유튜브 색퀸츄링 나만 알고 싶었는데 진짜 ..너무하네 ;;
104,감사합니다 색퀸츄링 유튜브 ㄷㄷㄷ검색해서 보셈 ㄹㅇ 수위 싼다
105,유튜브에 색퀸츄링 채널 들어가서 영상봐라 ㅋㅋ 후회없다;; 여캠영상 개지린다
106,와우..운동가집안...ㅎㄷㄷ
107,염병을 떠네...미치면 뭔짓을 못함?...
108,귀여운 척 겁나 하던데 입안에 바람넣고 빵빵한거 그것도 자주하고ㅡㅡ
109,오마이걸 효정닮았누
110,다영이랑 친한 고유민도 정말 예뻤는데 ㅠ
111,쌍꺼플 수술만?ㅋㅋㅋ
112,쌍커풀 이마 코 성형.
113,이다영. 왠지모를 매력 뿜뿜
114,음..다롱이 누나 불화땜에 ㅜㅜㅜ그래더 아직 잘하니깐! 화이팅 다롱이 누나 솔까 못한다고 하지마라 지들은 얼마나 잘한다고.ㅋㅋㅋ
115,다롱이가누군데
116,운동선수는<br>운동만 하게 놔둡시다<br>이런 영상이 선수들에게<br>엉뚱한 곳으로 흐르게<br>만드는 요인은 아닐지요?
117,"맞아요,운동선수로써,지나치네요,이재영선수를,아주모범적으로,좋게보고있는팬으로써,비교되네요,다영은처연함이없고,날라리기질이,다분해서,보기안좋네요,연예계로진출함이,좋을듯합니다,언니의몸가짐을,배우라충고하고싶네요,이재영선수는,애교전혀떨지않아도,모습과실력에서,동생을훨씬능가합니다👍👌👏"
118,이다영선수 찐팬입니다 항상 좋은경기보여주세요 화이팅!!!
119,ㄹㅇ 운동선수 2세는 그런경우가 많구나... 류현진 선수도 원래 오른손잡이인데 프로입단에 유리하라고 아버지가 왼손투수로 바꿔버렸다는데...ㄷㄷ
120,운동선수는운동일뿐
121,전혀 예쁘거나 사랑스럽지않음.<br>스스로 성형이 잘됬다고 생각해서인지 자신감과잉..부담스럽다.
122,역시 인공지능도 좋아했어<br>(목소리가 AI더빙이라는 뜻임)
123,익산 하니까 누누마렵네 누누하러가야지
124,배구나 제대로 해라
125,축복받은 집안이네..ㄷㄷㄷ 기럭지 긴 예쁜 딸이 둘이나..;;
126,배우이다영으로 봤네ㅋㅋㅋㅋㅋㅋㅋㅋ
127,성괴 아니더냐?
128,이재영 이다영은 배구하다 실수 나오면 어머니에게 잔소리 들을거 같네요. 어머니가 배구선수라 그럴것도 같아요.
129,정신력이 보통 사람아님
130,와 대박...
131,저 에미나이 성형전 사진 보면 말임메 ㅋㅋㅋ 못생긴거이 먹다가  구역질 나옴메 ㅋㅋㅋ
132,Si manisss
133,씨파 성형사진좀 봐라 토나오더라 성격더러워 sns질이나처하면서 팀과팬 기만하고 솔직히 세터로잘한다고 생각안하는데 지부모잘만나서 저래된거아니냐?
134,재대로된 정보를 공유해야져<br>이재영이 1순위 확정이고 이다영이 2순위입니다
135,그렇게 했는데용 ㅠㅠ
136,이거 조회수가 왜 이리 높은거임??<br>내가 잘못 본건가??
137,이재영  은  인기없지
138,쌍커플만 한게 아니라 이마 코도 했다네요
139,강남미인 드라마 잼잇어요
140,이마 코 눈 다 했음ㅋㅋ
141,@송송 코도 함 이재영이랑 비교해보세요 딱 티나요
142,코는 안함
143,역시 다롱 예뿌다
144,마치 당신처럼
145,눈하고 코도 했는데요...옆모습 보니 언니랑 다름 ㅋ
146,귀엽고 애교가 참 많아서 보는사람도 이유없이 행복해지네요^^
147,신이 잘못해서  키와 얼굴을 다넣음..
148,튜닝비크게들지않은듯.
149,납득!
150,여자배구 수년 동안 안보다 요즘 재영다영 자매 (흥국생명)경기 찾아봄. 보다보니 다른팀 경기도 꿀잼~~<br>농구나 다른 구기종목도 스타가 존재해야 붐이 일어날텐데...<br>스포츠 스타부재가 아쉬울뿐이다.
151,스포츠는 스포츠 자체도 중요하지만 끌어가는 스타가 정말 중요하져! 인정!!
152,맛은 있겠다♥
153,아주 열열이 응원하고 좋아햇던 모든것이 후회스럽다.많은팬들 무시하고 제맘대로 가는 그런선수는 더 이상 맘 줄일없다.손바닥뒤집듯 하는 그의 미래는 별로...아예 관심 없다.&quot;배신의 아이콘&quot;
154,개예뻐 ㅎㄱㄷ
155,연예인 제비 잘못 만나면 인생 조져요 연예인들 신중 하시길~
156,55초에는 이재영이네
157,성형전 개토나온다
158,"쌍꺼풀만 한게 아니고, 코도 했구만."
159,영상 만드신분이 사심 가득 들어가있네 ㅋㅋ
160,첨엔 너무이쁘고 밝아서 좋았는데 보다보면 흥이 너무과하다는 생각이자꾸 듭니다. 그래서 보기 거부감이 들어서 시러요 이재영님은 좀 덜한거 같아서 보기좋습니다
161,그래도 다영이 ㅠㅠ
162,넘 귀여운 이다영선수 화이팅<br>그분이알고싶다님 화이팅 !!
163,이다영 화이팅입니다
164,맛나겠당  힝 배고팡
165,이쁘긴한데 가장사랑스럽진않지요 ㅎㅎ 냐 강소희팬
166,강소희님도 쩔죠
167,성형오지게한건없네요
168,쌍거풀 수술은 진짜 얼굴이 달라지는듯
169,진짜 예쁘다.
170,카메라 의식 엄청 하던데 ㅋㅋㅋㅋㅋ
171,키가 179면.... 얼마나 큰지 잘 모르시는분인가.....
172,키빼면  평범한  얼굴인데  언론에서  너무뛰워줌
173,그래서몇촌데
174,난 제영이 더이쁜것 같아요
175,헐... 저 정도면 모델아닙니까?<br>연예인인데...<br>겁나이쁘네
176,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=4m12s"">4:12</a> 심판: 크흡 포커페이스ㅡㅡㅡㅋ"
177,쌍커풀에 코 수술 한거는 안 비밀 ㅋㅋ 넘나 귀여운 쌍둥이 배구선수ㅋㅋ 언니도 교정기 제거하면 더 예뻐질 듯 쌍커풀 없는 데로 언니의 매력도 장난 아닙니다.<br>노는 언니 예능 있는데 거기에 반고정??으로 나왔거든요. 배구 땜에 방송 못 나온다고 해서 아쉬웠지만 다른 분들도 재미있고 볼만합니다.<br>운동선수 출신으로 은퇴한 사람이나 현역만 나오고 제목에서도 알 수 있듯이 다 유명 운동선수로 여성분들만 나오는 예능입니다. 노는 언니 함 보세요~ㅎㅎ<br>영상 다 안보고 댓 먼저 달았는데 노는 언니 나오네요 ㅋㅋ
178,코수술 안했는데요 ㅋㅋㅋ
179,다영아. 너 너무좋아 익산 사는 삼촌  다영최고 국보다
180,온 가족이 운동선수인게 진짜 대박ㅋㅋㅋㅋㅋㅋ <br>유전자가 스포츠 특화네
181,좀더 열심히 배구에 충실해야한다<br>이재영의 수준에 미치지 못한다<br>카메라를 너무 의식하는건지 가끔 실력을 발휘하지 못하는 시합을한다
182,"고향은전북이고,학교는,진주,에서다녔나봐요,?"
183,넘 이쁘서 구독^^
184,다영🤩🤩🤩
185,아빠져어요
186,가만두면 남자가 아니지요.
187,으째... BJ삘...
188,여배 최고의  미녀<br>이다영
189,고향이  전라도 이네요
190,쌍수가 사람살렸네 허
191,연예인? 얼어죽을.성형해서 이뻐지면  다연예인하나? 뭐가연예인 뺨처요..ㅋㅋㅋ 이젠 비호감  전 고유민 좋아했는데..고유민이 훨씬 이뻣는데..지금 아무렇지 않게 배구하는거보면..좋다고..분명히 방관자있다..본인들 배구못할까봐..입다물고있는거지..몰랐다는건 거짓말..고유민이 악풀때문에 자살했을까? 절대아님.
192,"?알지 못하면서 말하지 마시죠? 이다영선수님께서 연예인 한다고 한적도 없구요, 솔직히 쌍수 요즘 거의 다 하는데, 그리고 자신 마음에 들면 된거죠 . 쌍수해도 안어울리는 사람 많아요;; 그리고 이다영선수님 경기영상 보면 누가봐도 사이좋구요, 인스타그램에도 공개적으로 추모게시물 올렸습니다. 정확한 근거없이 악플달지마세요;;"
193,전라도임
