,0
0,"Even it&#39;s just a drama series, I still wanna beat those bullies on their faces, from head to toe!My So-Hyun&#39;s hurt, that&#39;s why!"
1,"🌸🌸🌸🌸🌸🐰Kim So-Hyun🐰🌸🌸🌸🌸🌸                                         <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a>                                                                                                                                                                              <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a>                                                                                                                                                      <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a> <a href=""http://www.youtube.com/results?search_query=%23%EA%B9%80%EC%86%8C%ED%98%84"">#김소현</a>                                                                                                                                                                              <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a> <a href=""http://www.youtube.com/results?search_query=%23kimsohyun"">#KimSoHyun</a>"
2,폭력을 하면안돼요!나쁜행동이라고 요
3,폭력을 하면안돼요
4,조금나쁜악마들
5,야<br>학교에서<br>야야야<br>절교야
6,친구들이
7,불쌍해ㅠ
8,진짜 미쳤다
9,어떻게!! 학교 폭력을 하는데 선생님은 모르시나봐요 좀 신경좀 쒀 조야지아휴 ㅠㅠㅠ
