,comments,sentiment,tokens
0,뉴스타파 정말 감사합니다,0.0,"['뉴스타파', '정말', '감사합니다']"
1,할아버지 개멋있네 저런 나이에 상대를 한 방 저런 인종 차별자들 맞고 쓰러지고 일어나서 무슨 생각했을까,0.0,"['할아버지', '개멋', '있네', '저런', '나이', '에', '상대', '를', '한', '방', '저런', '인종', '차별', '자', '들', '맞고', '쓰러지고', '일어나서', '무슨', '생각', '했을까']"
2,1분 18초에 점원이 그곳을 차서 기절한 거임,0.0,"['1분', '18초', '에', '점원', '이', '그', '곳', '을', '차서', '기절', '한', '거임']"
3,동석이 형 한테 하면 ㅗㅜㅑ,0.0,"['동석', '이', '형', '한테', '하면', 'ㅗㅜㅑ']"
4,대부분 저런 사람들 정신 질환 환자들인데 불쌍하다 막상 통쾌하다고 욕하기 보단 치료와 도움이 필요한 사람들이라 생각한다,0.0,"['대부분', '저런', '사람', '들', '정신', '질환', '환자', '들', '인데', '불쌍하다', '막상', '통쾌하다고', '욕', '하기', '보단', '치료', '와', '도움', '이', '필요한', '사람', '들', '이라', '생각', '한다']"
5,오메 속 시원해 홧팅,0.0,"['오메', '속', '시원해', '홧팅']"
6,어디를 때리면 되는 거죠 알고는 있어야 할 것 같아서요,0.0,"['어디', '를', '때리면', '되는', '거', '죠', '알고는', '있어야', '할', '것', '같아서요']"
7,쳐 맞고 기절했어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,"['쳐', '맞고', '기절', '했어', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ']"
8,내 속이 다 시원 하네,0.0,"['내', '속이', '다', '시원', '하네']"
9,요새는 흑인들이 더 심하던 데,0.0,"['요새', '는', '흑인', '들', '이', '더', '심하던', '데']"
10,그렇죠,0.0,['그렇죠']
