,comment,sentiment
0,이 영상은 처음부분에선 솔로가 싫어했지만 갈수록 솔로의 얼굴이 맑아졌습니다,0
1,저렇게 살면 안헤어질 사람이 있을까,0
2,결론 : 사랑은 돈이다 실제로 돈이없으면 이혼한다 반박시 니말이맞음,0
3,주작?<br>수갑차고 어떻게 옷을 입고 벗어?,0
4,커플이라면서 4개월동안 [검열]도 안하냐,0
5,기부는 훌륭하네요~~ ^^,0
6,근데 어텋게 옷을갈아입었지?,0
7,헉 할만 한데 <br>?ㅋ,0
8,"실종아동 그릴때 괴롭힐때 사고 난다 해도 옆집에서 의도적으로 소리등으로 괴롭히며<br>2021 2월7일 히말라야 빙하 떨어짐<br>대청호헬기추락(이층에 다음만화 사장과 성씨 같은 남씨 아줌마 목소리 닮은 사람과 뭘하는지 옆집에 와서 듣기 싫은데 시끄럽게 하며 괴롭혀 대던그런거 있고 헬기추락있었음)<br>파키스탄 열차 추돌(기도중인데 옆집에서 소리내는데 위협감 들어옴) <br>네팔눈사태<br>발생했으며 현재도 계속 괴롭혀 대고있음<br>자신들과 사고 연관된거 알고 있으며 의도적으로 같은 방법으로 사고를 발생되도록 만든다.<br>실종아동 그리게 하고 괴롭힘이나 부패되는 행위 할 경우 사고 발생시키는 곳에서 주변에서 <br>괴롭히는 자들도 어떻게 해주셔야 함.<br><br><br>음란물 보면 2~3년내 안좋은 상황 만드시는 하나님.의도적으로 자신들 공격하게 도발한뒤 <br>생각조종등으로 그들에게 뭔가하게 만들어 마치 이런 식으로 위협감 느꼈다는 식으로 다른사람 귀신처럼 조종해서 공격하러 오는 자들 처주세요.옆집에서 그런 상황 만드려 하는지 계속 소리나 움직일때마다 같이 움직이며 도발하니 이런 자들도 안마주치게 해주시고, 그들이 저에게 했던 것들에 관하여 벌을 내려 주세요.이들은 상황만들어지는것 알고 이리저리 잘 피하는 자들이니 그들 못피하게 한뒤 잘 처주세요. <br><br><a href=""https://studio.youtube.com/video/Iz77B1PN0XQ/edit"">https://studio.youtube.com/video/Iz77B1PN0XQ/edit</a> <br>일상적인 생활하는거 처럼 위장하여 소리로 공격하는 옆집 아줌마.날씨 문제 생기게하는 자들  관련 이야기 하니 그때부터 잠자는 시간에 저런 소음 만드는 것으로 공격하기 시작. <br>날씨 조종하는 하나님께서 시키셔서 실종아동 그리고 있는데 계속 저런 소리 들으며 있어야함, 하나님  저런짓 못하게 해주세요. <br>방옆에서 전화 통화 하는 <br><a href=""https://www.youtube.com/watch?v=9CPFXpi86so"">https://www.youtube.com/watch?v=9CPFXpi86so</a><br>뭐 시켜 먹거나 하는것등도 보게 만드는. 자기들끼리 안에서 조용히 말하던가 할것이지 의도적으로 듣고 보게 만드는<br>뭐 시켰는데 안온다 하는 것 듣게 하다 배달오는거 보게 만드는.<br>세월호 지원헬기 추락전에 뭐 시켜먹듯 히말라야 빙하 떨어지기 전에도 옆집에서 뭔가 받아 먹는 <br>그런 것이 있었는데 듣기도 보고 싶지도 않은<br><a href=""https://www.youtube.com/watch?v=M4S5Z_PDZ-w"">https://www.youtube.com/watch?v=M4S5Z_PDZ-w</a><br>내가이런 것들을 보려 해서 보는 것이 아닌 이런 특정 행동이나 모습등을 보게 만든다.<br>꼴보기 싫은것들 보게 만든뒤 파괴하는 생각 주입하는등<br><br>일상적인 생활 하는체 하며 소음으로 괴롭히는 <br>길에서 길가로 막기 후 생각 주입하듯 저런 소음만들어 내며 계속 좋지 않은 생각을 주입한다.<br>들리는데 듣기 싫다.짜증난다 등의 생각등으로 괴롭힘<br><a href=""https://www.youtube.com/watch?v=Iz77B1PN0XQ&amp;t=10s"">https://www.youtube.com/watch?v=Iz77B1PN0XQ&amp;t=10s</a><br><br>2011실종아동 전문기관 사이트에 실종아동 알리기 위해 그려둔 그림들 지워짐 관해<br>다음카페 적은 바로 다음날 실종아동 그리는 것과 관계 없이 다니던 회사해태(cj-gls)에서<br>정보보호서약서 주며 사인하라함. 대기소에서는 주지도 않을 안전용품 사인하라는 곳에 일을 보냄.중국음식 먹은뒤에는 아프거나 다치는 사람나옴.이층에 다음만화 사장과 같은 성씨를 가진남씨 아주머니가 실종아동을 그릴때마다 바닥을 찍어대며 짜증나게 하고, 듣기 싫은 소리등을만들어냄.길에서는 그 비슷한 사람들을 계속 붙여 짜증나게 만들고,&#39;남&#39;이라는 글자가 들어간 것들을 자꾸 보게끔 만들어 놓고 분노하고 사고치게 유도함.(ex남양유업,남양건설,광남버스)원래는 못하게 막다가 나중에는 저들이 시키듯 이래라 저래라 하면 짜증나니까 그렇게 해서 하지 말자 하게끔 만드는.",-1
9,옷은어케 입고벗은거지,0
10,옷이랑 점퍼 팔밑에 전부 지퍼달려있고 옷벗는 것도 영상에 나오는데 다들 안보시고 댓글다시나ㅋㅋㅋ,0
11,똥냄새때문에 헤어졌네,0
12,혼인한 사이라도 적당한 거리감은 필요한법이죠. ㅋㅋ,0
13,와 4개월도 ㅈㄴ대단하다,0
14,ㅈㄹ둘 하고~~~자빠~졌네,1
15,같은 동성끼리 저렇게 붙어놓으면 이성인 부부나 연인보다 더 오래갈듯 ..,0
16,난하루도못갈거같은데,0
17,아무리 좋아 죽어도 1년만 붙어서 살아바라 ㅋㅋ  처음본여자가 이상형이다,1
18,좋았다 34억,0
19,남자 진짜다행이다...안이쁜여자랑 결혼할뻔,1
20,ㅋㅋ참뻘짓하니ㅋㅋ,0
21,넌 저리해도 100만원도 못번다<br>34억을 벌었는데 뻘짓같은 소리하네 ㅋㅋ,1
22,수갑을 저렇게 찼는데 윗 옷은 어떻게 갈아입지 손에 사슬에서 거릴텐데 우째...풀리나?,0
23,커플 각자 6억씩 챙긴건가??,0
24,불륜저지른 사람들을 저렇게 하는 형벌을 내렸으면 좋겠네요.<br>얼마나 좋으면 배신까지 하면서 그럴까하고 둘이<br>한시도 떨어지지 않게하기위함이다 라고<br>판결문 읽으면 앞뒤가 맞는거 같음.. ㅎ,0
25,뉴스 앞에선 헤어진척 하고 뒤로 다시 만날질 어떻게 알아?  이딴거에 관심 가지니 돈도 벌고 좋네,1
26,쇠독오르겠다,0
27,ㅎ,0
28,옷 어케입음?,0
29,쇠사슬있는데 티셔츠 입는게 가능한가?,0
30,묶여있는데 옷을 어떻게 갈아입음??,0
31,4개월 수갑차고 30억벌기 개꿀이네 난 1년할테니 10억만줘유,0
32,돈벌려고 참 별짓 다한다 관종들 그래도 돈은 벌었으니 성공했네,1
33,옷 어떻게 갈아입음??,0
