,comment,sentiment
0,"['이', '거', '그거', '같다', '그', '분노', '의', '질주', '더', '익스트림', '에서', '샤를', '리즈', '테론', '사이퍼', '이', '좀비', '타임', '하면서', '전부', '다', '폐차', '만들어', '놓은', '거']",0.0
1,"['아니', 'ㅋㅋ', '브레이크', '등', '왜', '안', '들어오냐고', '아', 'ㅋㅋ']",0.0
2,"['볼보', '운전자', '보다', '제', '가', '운전', '경력', '삼', '십년', '가까이', '됩니다', '그동안', '대우', '차', '현대차', '쉐보레', '차', '중형', '급', '신차', '만', '뽑아서', '운전', '해본', '결과', '외제차', '는', '무조건', '걸러', '야', '된다고', '봅니다', '사고', '시', '부품', '비', '인건비', '가', '타', '국산', '차', '에', '비해', '비쌉니다', '물론', '잘', '들', '아시겠지만', '국산', '차는', '해외', '수출', '용', '보다', '헉', '소리', '나오게', '국민', '들', '뒷북', '치', '게', '만드시는', '거', '알거에요', '그래도', '국내', '브랜드', '차량', '이', '써비스', '쎈', '타도', '많고', '부품', '준비', '돼', '있고', '외제차', '보다', '추천', '드립니', '다']",0.0
3,"['주차', '부터', '멋지게', '하셨네요']",0.0
4,"['운전', '실력', '굳', '국기', '게양', '대', '파워', '클라스', '인정']",0.0
5,"['자동', '회피', '로', '트럭', '은', '피', '한', '거', '아닌가']",0.0
6,"['저기', '우리', '동넨데']",0.0
7,"['그래도', '현기', '만', '할까']",0.0
8,"['수동', '타는', '데', '현', '기차', '고', '수입', '차고', '쌍용차', '고', '급발진', '사고', '가', '일어', '나네요', '너무', '무섭다', '이럴', '때', '수동', '짱짱맨']",0.0
9,"['3', '달', '된', '사고', '를', '지금', '엠빅', '이', '올린', '다', '이건', '운전자', '가', '언론', '플레이', '하려는', '거임', '이', '거', '사고', '블랙박스', '풀', '영상', '인데', '들어가서', '댓글', '보셈', '운전자', '가', '실수', '한', '거임', '김여사', '가', '중립', '놨', '다가', '엑셀', '을', '브레이크', '로', '착각', '하고', '엑셀', '밟고', '로', '바꿔서', '차가', '달린', '거임', 'ㅋㅋ']",0.0
10,"['안전한', '차', '맞냐']",0.0
11,"['그래서', '예능', '에서', '볼보', '광고', '가', '안', '보였구나']",0.0
12,"['뉴스', '똑띠', '안', '씁니까', '브레이크', '등', '단', '한', '번', '도', '안', '들어오는데', '이', '것', '도', '오', '작', '동', '입', '니까', '브레이크', '등', '이', '캔', '통신', '도', '아니고', '스위치', '라', '밟으면', '들어오는', '게', '정상', '인데', '브레이크', '보조', '등', '브레이크', '등', '다', '안', '들어오는', '게', '말', '이', '됩니까', 'ㅡㅡ']",0.0
13,"['2억', '겨우']",0.0
14,"['키', '햐', '급발진', '나면', '고객', '탓', '국내', '나', '국외', '나', 'ㅋㅋ']",0.0
15,"['전기차', '를', '타면', '4226226', '이렇게', '될', '수', '있는', '거', '니까', '어떻게', '탐']",0.0
16,"['근데', '브레이크', '등', '안', '들어온', '거', '같은데']",0.0
17,"['저', '차가', '파킹', '브레이크', '가', '전', '자식', '인지', '아', '날로', '근', '진', '모르겠는데', '아날로그', '는', '에', '놓고', '파킹', '브레이크', '댕', '겨놓고', '사이드', '내리는', '순간', '확', '튀어', '나가면서', '급발진', '하는', '경우', '있긴', '함']",0.0
18,"['전', '자식', '의', '큰', '문제점', '이지']",0.0
19,"['ㅇㅋ', '볼보', '안타', '는', '걸', '로']",0.0
20,"['브레이크', '등', '이', '안', '들어오는데', '아닌가']",0.0
21,"['덤프', '트럭', '타야', '됨', '급발진', '없고', '튼튼하고']",0.0
22,"['안전', '우선', '인', '볼보', '는', '어떻게', '처리', '할지']",0.0
23,"['공포', '의', '19초', '영상', '은', '4분', '26초']",0.0
24,"['중국', '지', '리차', '가', '대', '주주', '로', '되더니', '별', '일이', '다', '일어나는군']",0.0
25,"['차', '이상하면', '바로', '박아', '야', '함', '속도', '붙으면', '끝']",0.0
26,"['엄청나게', '와', '소름', '무섭네요', 'ㅜㅜ']",0.0
27,"['저렇게', '달릴', '때', '사람', '안', '친', '게', '정말', '다행', '이네', '요']",0.0
28,"['와', '다리', '떨려요', '진짜', '무서워', '저런', '상황', '에서', '어떻게', '해야', '하는지', '감도', '안', '잡힌다']",0.0
29,"['처음', '부터', '끝', '까지', '브레끼', '등', '안', '들어', '옴끝']",0.0
30,"['보는', '것', '만으로도', '공포', '네', '요']",0.0
31,"['근', '디', '상', '으로는', '브레이크', '밟힌', '흔적', '이', '안', '보이는', '걸', '로', '보아', '서', '급발진', '인정받긴', '힘들어', '보이네요']",0.0
32,"['결코', '자동', '이', '좋은', '건', '아니다', '수동', '장치', '는', '좀', '살려', '놔라']",0.0
33,"['19초', '전', 'ㄷㄷ']",0.0
34,"['46초', '전', 'ㄷㄷ']",0.0
35,['ㄷㄷ'],0.0
36,"['짱구', '택시', '편', '에서', '나오는', '하늘', '로', '날아서', '낙하', '상', '펼치고', '떨어지는', '거', '라도', '좀', '만', '들어줬으면', '반', '자율', '주행', '도', '가능한데', '그런', '기능', '하나', '쯤', '넣어주세요', '안전띠', '도', '못', '한', '채', '로', '핸들', '도', '안', '먹고', '얼마나', '무서웠을까', 'ㅜㅜ']",0.0
37,"['대한민국', '법', '이', '도대체', '왜', '있는', '거지', '국민', '을', '가장', '먼저', '위해', '야', '하는', '거', '아닌가']",0.0
38,"['아니', '믄', '잔', '투기', '처럼', '비상', '탈출', '버튼', '누르면', '선', '루프', '열리면서', '운전', '석', '시트', '랑', '같이', '하늘', '로', '날려', '보내는', '걸', '달거나']",0.0
39,"['볼보', '여서', '살아있는', '것', '을', '다행', '이라고', '해야', '하나', '와', '볼보', '급발', '진', '입증', '하기', '어렵다는', '데']",0.0
40,"['중국산', '끝']",0.0
41,"['우리', '흉기', '를', '보십시요', '볼보', '양반', 'ㅋㅋ', '우리', '는', '이', '걸', '우', '전', '미숙', '이라', '결정', '합니다', '허허', '허']",0.0
42,"['트렁크', '안', '에', '낙하산', '같은', '거', '달', '면', '안', '되나', '그', '어느', '정도', '속도', '에선', '트렁크', '열리고', '펼쳐져서', '감속', '되게']",0.0
43,"['볼보', '좋네', '볼보', '사야', '징']",0.0
44,"['아자', '씨', '저', '영상', '보면서', '그렇게', '밖에', '말씀', '못', '하십니까', '아자', '씨']",0.0
45,"['자율', '주행', '이', '좋은', '것', '만은', '아니야', '내', '가', '제어', '하려', '해도', '안', '되잖아', '앞', '으로는', '이런', '끔찍한', '일', '들', '이', '많을', '것', '이다']",0.0
46,"['행동', '요령', '1', '시동', '을', '끄지', '말기', '핸들', '잠길', '위험', '2', '풋', '브레이크', '를', '꾹', '밟기', '나눠', '밟기', '금지', '3', '기어', '를', '중립', '으로', '바꾼다', '또는', '엔진', '브레이크', '이용', '4', '속도', '가', '줄어들면', '사이드', '브레이크', '올린다', '확', '올리면', '드리프트', '발생', '위험', '5', '최후', '의', '수단', '가드레일', '과', '같은', '주변', '안전한', '지형', '지물', '을', '이용', '해', '벽', '을', '긁으면서', '속도', '를', '줄인', '다', '사전', '에', '풋', '블랙박스', '를', '설치', '한', '다']",0.0
47,"['현대', '기', '아가', '더', '심한데', '답', '이', '없다']",0.0
48,"['이', '사고', '역시', '운전자', '과실', '로', '몰아가겠죠', '늘', '그랬던', '것', '처럼']",0.0
49,"['근데', '브레이크', '는', '왜', '안', '잡냐', '운전', '미숙', '90', '퍼', '이상']",0.0
50,"['브레이크', '등', '불', '들어온', '상태', '인데', '질주', '합', '겁니다', '눈', '을', '크게', '뜨고', '보세요']",0.0
51,"['진짜', '이쯤', '되면', '급발진', '대비', '해서', '차량', '바퀴', '강제', '수동', '탈출', '이나', '강제', '엔진', '폭파', '기능', '이라도', '넣어야', '하는', '게', '아닐까', '싶다']",0.0
52,"['볼보', '이', '제', '중국', '차', '아닌가']",0.0
53,"['내', '가', '전자', '장비', '를', '별로', '안', '좋아하는', '이', '유', '중', '하나', '지']",0.0
54,"['출발', '하자', '말', '자', '사이드', '로', '받아야지']",0.0
55,"['지금', '차가', '로', '체', '이노베이션', '2010', '식', '인데', '저런', '전', '자식', '으로', '된', '차', '의', '오', '작동', '때문', '에', '겁나서', '차', '를', '못', '사겠다', '요즘', '은', '다', '저런', '차', '들', '이', '많아서', '겁난', '다', '겁나']",0.0
56,"['저리', '달리는', '데', '브레이크', '등', '이', '안', '들어', '올', '꼬', 'ㅋㅋ', '급발질', '이라', '주장', '하는', '사고', '중', '대부분', '은', '그냥', '운전', '미숙']",0.0
57,"['브레이크', '등', '안', '들어오는데', '급발진', '맞어', '다른', '급발진', '사고', '는', '브레이크', '등', '들어오고도', '급발진', '되드', '만']",0.0
58,"['자동', '시스템', '맹신', '하다', '잘', '못', '되면', '큰', '사고', '로', '이어지더라']",0.0
59,"['뭐', '같은', '나라', '일반인', '보고', '증명', '하란', '다', '결론', '일반인', '이', '백프로', '못', '찾는', '걸', '아', '니깐', '전부', '너', '네', '잘못', '이다', '라고', '암암리', '에', '말', '하는', '논리', '지']",0.0
60,"['저기', '요', '현', '기차', '는', '급발진', '더', '많은데', '그거', '는', '안내', '보내주고', '수입', '차만', 'ㅎ', '내보내는', '거', '는', '무슨', '심보', '죠']",0.0
61,"['브레이크', '등', '에', '불', '이', '들어오지', '않았어요', '저렇게', '전', '속력', '내는', '데도', '그냥', '엑셀', '밟고', '있는', '것', '같은데요']",0.0
