,0
0,이 영상은 처음부분에선 솔로가 싫어했지만 갈수록 솔로의 얼굴이 맑아졌습니다
1,저렇게 살면 안헤어질 사람이 있을까
2,결론 : 사랑은 돈이다 실제로 돈이없으면 이혼한다 반박시 니말이맞음
3,주작?<br>수갑차고 어떻게 옷을 입고 벗어?
4,커플이라면서 4개월동안 [검열]도 안하냐
5,기부는 훌륭하네요~~ ^^
6,근데 어텋게 옷을갈아입었지?
7,헉 할만 한데 <br>?ㅋ
8,"실종아동 그릴때 괴롭힐때 사고 난다 해도 옆집에서 의도적으로 소리등으로 괴롭히며<br>2021 2월7일 히말라야 빙하 떨어짐<br>대청호헬기추락(이층에 다음만화 사장과 성씨 같은 남씨 아줌마 목소리 닮은 사람과 뭘하는지 옆집에 와서 듣기 싫은데 시끄럽게 하며 괴롭혀 대던그런거 있고 헬기추락있었음)<br>파키스탄 열차 추돌(기도중인데 옆집에서 소리내는데 위협감 들어옴) <br>네팔눈사태<br>발생했으며 현재도 계속 괴롭혀 대고있음<br>자신들과 사고 연관된거 알고 있으며 의도적으로 같은 방법으로 사고를 발생되도록 만든다.<br>실종아동 그리게 하고 괴롭힘이나 부패되는 행위 할 경우 사고 발생시키는 곳에서 주변에서 <br>괴롭히는 자들도 어떻게 해주셔야 함.<br><br><br>음란물 보면 2~3년내 안좋은 상황 만드시는 하나님.의도적으로 자신들 공격하게 도발한뒤 <br>생각조종등으로 그들에게 뭔가하게 만들어 마치 이런 식으로 위협감 느꼈다는 식으로 다른사람 귀신처럼 조종해서 공격하러 오는 자들 처주세요.옆집에서 그런 상황 만드려 하는지 계속 소리나 움직일때마다 같이 움직이며 도발하니 이런 자들도 안마주치게 해주시고, 그들이 저에게 했던 것들에 관하여 벌을 내려 주세요.이들은 상황만들어지는것 알고 이리저리 잘 피하는 자들이니 그들 못피하게 한뒤 잘 처주세요. <br><br><a href=""https://studio.youtube.com/video/Iz77B1PN0XQ/edit"">https://studio.youtube.com/video/Iz77B1PN0XQ/edit</a> <br>일상적인 생활하는거 처럼 위장하여 소리로 공격하는 옆집 아줌마.날씨 문제 생기게하는 자들  관련 이야기 하니 그때부터 잠자는 시간에 저런 소음 만드는 것으로 공격하기 시작. <br>날씨 조종하는 하나님께서 시키셔서 실종아동 그리고 있는데 계속 저런 소리 들으며 있어야함, 하나님  저런짓 못하게 해주세요. <br>방옆에서 전화 통화 하는 <br><a href=""https://www.youtube.com/watch?v=9CPFXpi86so"">https://www.youtube.com/watch?v=9CPFXpi86so</a><br>뭐 시켜 먹거나 하는것등도 보게 만드는. 자기들끼리 안에서 조용히 말하던가 할것이지 의도적으로 듣고 보게 만드는<br>뭐 시켰는데 안온다 하는 것 듣게 하다 배달오는거 보게 만드는.<br>세월호 지원헬기 추락전에 뭐 시켜먹듯 히말라야 빙하 떨어지기 전에도 옆집에서 뭔가 받아 먹는 <br>그런 것이 있었는데 듣기도 보고 싶지도 않은<br><a href=""https://www.youtube.com/watch?v=M4S5Z_PDZ-w"">https://www.youtube.com/watch?v=M4S5Z_PDZ-w</a><br>내가이런 것들을 보려 해서 보는 것이 아닌 이런 특정 행동이나 모습등을 보게 만든다.<br>꼴보기 싫은것들 보게 만든뒤 파괴하는 생각 주입하는등<br><br>일상적인 생활 하는체 하며 소음으로 괴롭히는 <br>길에서 길가로 막기 후 생각 주입하듯 저런 소음만들어 내며 계속 좋지 않은 생각을 주입한다.<br>들리는데 듣기 싫다.짜증난다 등의 생각등으로 괴롭힘<br><a href=""https://www.youtube.com/watch?v=Iz77B1PN0XQ&amp;t=10s"">https://www.youtube.com/watch?v=Iz77B1PN0XQ&amp;t=10s</a><br><br>2011실종아동 전문기관 사이트에 실종아동 알리기 위해 그려둔 그림들 지워짐 관해<br>다음카페 적은 바로 다음날 실종아동 그리는 것과 관계 없이 다니던 회사해태(cj-gls)에서<br>정보보호서약서 주며 사인하라함. 대기소에서는 주지도 않을 안전용품 사인하라는 곳에 일을 보냄.중국음식 먹은뒤에는 아프거나 다치는 사람나옴.이층에 다음만화 사장과 같은 성씨를 가진남씨 아주머니가 실종아동을 그릴때마다 바닥을 찍어대며 짜증나게 하고, 듣기 싫은 소리등을만들어냄.길에서는 그 비슷한 사람들을 계속 붙여 짜증나게 만들고,&#39;남&#39;이라는 글자가 들어간 것들을 자꾸 보게끔 만들어 놓고 분노하고 사고치게 유도함.(ex남양유업,남양건설,광남버스)원래는 못하게 막다가 나중에는 저들이 시키듯 이래라 저래라 하면 짜증나니까 그렇게 해서 하지 말자 하게끔 만드는."
9,옷은어케 입고벗은거지
