comment,author,date,num_likes
(몽환적인 전자 음악),소테킹,2021-05-21T06:31:35Z,0
강의기대됩니다,David Park,2021-05-04T10:40:38Z,0
요즘 JavaScript에 대한 지식이 부족했는데 마침내 무료이고 목소리 좋은 강의를 찾았네요 작게 공부하고 최대한으로 활용할 수 있는 수업이길 바랍니다,ParkChanhyeong,2021-05-02T13:59:59Z,0
좋은 강의 감사합니당 덕분에 여기까지 달려왔어요 ㅠㅠ 성취감 히히,데수,2021-04-26T08:05:11Z,0
준비됐나용?하는데 저도 모르게 네에에엥!!!!,TheBeofas,2021-04-10T04:35:16Z,0
혹시 7년전에 올리신 자바스크립트 강의와 이 강의를 병행하는게 낫나요? 아니면 최근에 나온게 제일 상위의 내용인가요? 궁금합니다 ㅠㅠ,김크크,2021-04-07T09:05:12Z,1
css까지 마친 사람인데 댓글 남깁니다. 강의가 워낙 훌륭해서인지 지금까지도 계속 조회되고 있는 것 같아요. 서점에서 생활코딩님 책도 봤어요. 이렇게 좋은 강의 무료로 올려주셔서 감사해요 ㅎㅎ,Healing TV,2021-04-06T09:31:46Z,2
html css 다 듣고 제이쿼리 모바일 인트로 보다가 뭔소린지 모르겠어서 여기로 왔습니다...할 수 있겠죠...? 하하,고담이,2021-03-29T08:07:14Z,0
낼 자바강의 보기,여름별,2021-03-13T16:37:09Z,0
돈 내고 학원 왜다니냐 이것만큼 좋은 강의자료와 좋은 설명은 없다....;;,Haewon Lee,2021-02-22T08:04:14Z,0
2021/02/10 수업 시작!!!,픽픽픽닷컴,2021-02-09T18:37:25Z,1
이걸로 자바스크립트 배우고 책 보니깐 이해 잘가네요 ㅎㅎ 보시는 분들 이걸로 공부 하시고 나서 조금 더 공부하시고 중급으로 넘어가도 될거 같아요 ㅎㅎ,wikiowner,2021-02-08T01:18:25Z,0
귀에 쏘쏙 들어오는 말투에 다시한번 자바스크립트에 도전해 봅니다~~~너무 힘이 되네요~!!!!!,현예련,2021-02-03T01:28:26Z,0
2021. 01. 29 html 강의 듣고 java 시작합니다! ✨👍🏻,Wanderlust,2021-01-28T23:16:43Z,1
몇십년이 지나도 생활코딩님의 영상 조회수는 꾸준히 오를 것 같네요... 후세에도 기억되야할 채널입니다 ㅠㅠ,࿐𒐫꧄𒁃꧃𒈙𒄦𒀱𒐫꧄𒁃꧃𒐫ᅳ𒐫ᅳ𒐫ᅳ ࿐𒁃𒁃𒀱𒄦𒈙𒐫࿐𒁃𒀱𒄦𒈙𒐫࿐𒀱𒄦𒈙𒐫࿐ ꧄𒁃꧃,2021-01-26T11:58:19Z,6
2021.01.22 시작,임진욱,2021-01-22T02:03:57Z,1
좋은영상감사합니다 너무 유용해요,Susan Jeon,2021-01-06T04:32:02Z,1
이거 해킹 각 잡는거 아닌....ㄱ,고국,2021-01-05T07:01:02Z,1
"HTML은 컨텐츠를 쓰는 언어, CSS는 컨텐츠를 디자인하는 언어, JS는 컨텐츠를 사용자와 상호작용 할 수 있게 만드는 언어",소난,2021-01-04T03:18:56Z,6
"2021.1.2, 새해목표 시작",Blue Sky,2021-01-02T14:37:53Z,0
안녕하새요.  강촤 아주 잘 보고 있습니다.   몽골에도 이런 강의가 있으면 얼마나 촣을까요..,Sukhbaatar Khosbayar,2021-01-02T13:08:42Z,1
28살인데요! 웹사이트 관련 코딩을 하고싶습니다 자바스크립트 이걸로 공부해도될까요? 행님?,컴퓨터자수제우스,2021-01-01T12:26:58Z,1
이런 강의를 무료로 올려주셔서 정말 감사합니다 ~,Bot Cage,2021-01-01T07:24:48Z,2
"생코 html, css강의로 심플한 웹 제작에 성공하고 , java script 배우러왔어요.  내가 웹을 만들다니!!  댓글, 라이브 채팅기능 넣는게 커피 takeout하듯 간단한 일이었다니!!",witch white,2020-12-24T12:34:16Z,2
안녕하세용 ^_^~,Jung_Min Youn,2020-12-21T09:44:36Z,1
오늘도 감사합니다!,Yongsik Kim,2020-12-14T20:28:20Z,1
감사합니다 매 강의마다 감탄하게 되네요 .. ㅠㅠㅠ,_y sunny_,2020-12-01T04:24:42Z,1
아악.. 2014년도에 올라왔던 자바스크립트 강의 40개를 듣고나서 이걸발견함 .. 객체까지 끝냈는데.. 다시 이거 정주행 .. 해야겠어요 ㅎ ..,EJ Lee,2020-11-13T04:46:22Z,4
2014년에 자바 강의 업로드 하셨는데 본 영상으로 공부하는 것이 좋은 건가요?,o,2020-10-29T04:15:45Z,1
@생활코딩 감사합니다 ^^,o,2020-11-01T05:22:17Z,0
"자바를 공부하신다면 아래 수업을 추천합니다. <a href=""https://opentutorials.org/module/4294"">https://opentutorials.org/module/4294</a>",생활코딩,2020-10-29T04:37:21Z,1
자바랑 자바스크립트는 다른 언어랍니다. :),생활코딩,2020-10-29T04:36:08Z,1
2020.10.24 스타또.,권재현,2020-10-24T03:16:41Z,0
진짜 명강입니다...  이해하던 안하던 냅다 실전부터 들이미는 강의들과 달리 천천히 세세하게 근본부터 설명해주셔서 이해가 팍팍되고 재밌어용~~~,한다솜,2020-10-19T09:21:38Z,1
유니티를 배우고 있었는데 원래 좋아하던거는  WEB 유니티는 게임 만들려고 유니티를 할까요 아님 js를 할가요?,코딩좋아,2020-10-13T00:49:06Z,1
20.09.22 시작🙋🏻‍♀️✨,웅녀,2020-09-21T23:50:50Z,1
(몽환적인 전자 음악),lee lee,2020-09-14T16:54:53Z,1
딱딱한 코딩이 부드럽다는 것을 알려주신건 선생님뿐입니다. 감사합니다.,김동혁,2020-09-12T10:17:12Z,1
추천해주신 댓글 보고 넘어왔습니다!! 여기가 맞는지 모르겠지만 최신영상으로 또 정주행 시작 20200912,전생님 [전부다해보는선생님] allcher,2020-09-12T00:45:17Z,1
"css 마지막에 하신 말씀을 듣고 <a href=""http://goodsites.ml/"">goodsites.ml</a> 사이트를 만들어 보고 돌아왔습니다! ㅋㅋ",성원합니다,2020-08-22T14:46:05Z,0
이건 프레임워크인가요?<br>ruby on rails랑 같은,5 000,2020-08-19T13:12:22Z,2
fullstack developer 화이팅!,Jin Park,2020-07-27T02:27:55Z,1
감사합니다. 자바스크립트 시작합니다!!,LifeFrom라프,2020-07-21T09:49:18Z,1
2020.07.21 JS시작!,갸아악,2020-07-21T00:20:36Z,1
아 기대되요 ㅋㅋㅋㅋㅋㅋ,땡뽀,2020-07-15T06:27:12Z,1
Nodejs듣다가 여기로 왔네요ㅜ,고요필름,2020-06-25T13:45:56Z,0
좋은강의 늘 감사합니다!,EUNSUN KIM,2020-06-04T14:00:24Z,1
소리키고 듣지 못해서 자막켜놨는데 맨첨에 나오는 (몽환적인 전자음악) 덕에 살짝 웃고갑니다 ㅋㅋ 배려깊은 자막이네요!,EUNSUN KIM,2020-06-04T13:59:22Z,4
그림은 직접 그리시는건가요?,bw K,2020-06-04T03:32:46Z,2
인강들으면서 신나는거 처음이에요 ㅠㅠㅠ😍😍😍,PEARLKITE,2020-04-23T00:38:56Z,15
인정합니다;;,Life of gureum,2020-12-16T07:21:55Z,0
ㄹㅇ,김민상,2020-07-08T07:20:54Z,0
4/19,양돌로,2020-04-19T08:52:52Z,1
감사합니다 사랑합니다,bum programmer,2020-03-19T00:45:26Z,0
할렐루야,김재완,2020-02-27T02:12:00Z,2
토끼 귀엽,김정민,2020-01-27T21:55:42Z,1
"2020.01.09 <a href=""https://www.youtube.com/watch?v=dPRtcRwKo-Y&amp;t=01m40s"">01:40</a> &quot;start&quot;",고구마,2020-01-08T16:40:41Z,1
자바스크립트 너무조아!!,꿀주먹,2019-11-21T03:45:11Z,1
볼때마다 자막달고 보는데 시작할때 몽환적인 전자 음악 자막으로 뜨는거 왤케 웃기짘ㅋㅋㅋㅋ 오늘도 정주행하러갑니다,LifeD,2019-11-15T06:36:22Z,3
2019 11 05 &quot;RESTART&quot; 대회 준비를 위하여.,3118지건우,2019-11-05T11:04:38Z,1
2019 11 02 &quot;START&quot;,••,2019-11-02T14:06:45Z,2
"누군가 그렇게 말하더라구요. &#39;dog&#39; = html, &#39;beautiful&#39; = css. 즉 Beautiful dog이 html+css. 거기다 &#39;bark&#39;라는 Javascript. 즉 A beautiful dog barks.가 html+cs+js라구요",YeonCheol Jang,2019-09-24T04:39:35Z,52
그저 갬동..,떡볶이싫어요,2021-03-02T06:26:40Z,0
이것이 컴공식 유머입니까..?,아보카도홀딩스,2020-10-17T19:04:18Z,9
멋진 말이네요^^,김재원,2020-06-15T05:40:56Z,0
<b>그와중에 배경음악 YouTUbe 최초공개 브금 ㅋㅋ</b>,키시 부계,2019-08-19T10:34:16Z,31
오늘부터 시작합니다.,박지수,2019-08-11T00:46:08Z,1
i can&#39;t read Korean...,lucy Lili,2019-07-26T10:46:42Z,1
어떻게 이런 퀄리티와 분량의 강좌들을 돈 안 받고 무료로 배포하시는지.... 감사합니다,UJ,2019-07-22T14:10:54Z,128
ㄱㄱ,King Xerxes,2021-01-02T23:12:07Z,0
정말 공감합니다.,DDubuk,2020-01-21T10:36:15Z,8
죄송하지만 쓰고계신 프로그램이 뭔가요?,이혜찌,2019-06-26T02:48:56Z,1
"안녕하세요, 강의 잘 보고있습니다~ 책도 출판하셨죠? 원래는 유투브 영상만 보고 공부하다가 배운거 다시 처음부터 정리할겸 책 샀어요!!  HTML+CSS+자바스크립트 책 다 끝나면 그다음책 PHP+MySQL도 사려구요!! 항상 좋은강의 고맙습니다 :)",성Seong,2019-05-27T04:39:58Z,1
수업이 굉장히 잼있네요^^,키치요정Kitsch,2019-05-07T23:56:52Z,1
최고의 수업입니다.,John Yun,2019-04-11T02:38:45Z,1
선생님 전 아직도 자바랑 자바스크립트의 차이를 모르겠어요 어떻하죠 ㅠㅠ,바람산들,2019-03-16T03:56:55Z,2
인도와 인도네시아의 차이라고 생각해보세용,9yu. oo,2019-10-03T04:08:42Z,3
html 부터 차근차근 생활코딩님 영상 보면서 공부하고 있습니다. 호기심으로 시작했는데 영상이 이해하기 쉽고 재밌어서 취미가 되어 버렸네요. ^^  구독자가 적은게 이해가 안간다는 다른 구독자 분의 말씀이 너무 공감가요ㅠ 저처럼 여전히 지난 영상 보면서 공부하는 분들이 있으니 혹시라도 절대절대 영상 내리시거나 중단 하시면 안돼요~!! 항상 응원합니다.,Hyeon Hee Kim,2019-02-20T05:00:49Z,3
