,comments,sentiment
0,ㄹㅇ 본방 보고 싶은데 나만 보면 지는 것 같아서 절대 안 볼거임 ㅜㅠㅠ,0.0
1,우리나라 법,0.0
2,그렇게 돈 많은 왕자님은 일반인과 결혼 안 합니다 그냥 사기꾼 입니다,0.0
3,애기까지 ㅉㅉㅉ 여자 인생 망쳐놨네,0.0
4,이런 인간들 신상공개 좀 되게 법 좀 바꼈으면 당한 사람은 무슨 죄야,0.0
5,저러고 또 몇 년 살다 나온다는 게 문제네요 죗값을 무겁게 받아야 하는데 ㅠㅠ,0.0
6,아 진짜 너무 분노가 치밀어 오른다 ㅠㅠ 무섭다 진짜,0.0
7,사기꾼들 하는 행동을 몽땅 믿고 좋아했넹그 남자 계획은 딸 낳을 때 까지 목적 달성 끝 ㅎ,0.0
8,저 남자는 사기 잘 당할 것 같은 여자를 결혼 상대로 선택했네요 에 휴,0.0
9,이강백 작가의 결혼 실사판인가,0.0
10,사기 형량이 적으니 우리나라에는 사기꾼이 이 리 많은 거임,0.0
11,답답할 노릇입니다 안타깝습니다 부모도 포기한 자식 같군 요 파렴치한 사기꾼 입나다 남자 잘못 만나 천사 같은 아이까지 에휴,0.0
12,남의 집안 풍비박산 내고 천벌을 받을 거다,0.0
13,완전 선수 네 선수,0.0
14,난 결혼 안 할 건데 아무튼 불쌍하다,0.0
15,아무리 사랑해도 돈 해달라는 남자는 믿고 걸러야지,0.0
16,돈 먹으려고 먹튀한 거네,0.0
17,애가 불쌍하다 너무,0.0
18,혼인신고도 안 했단 건가요,0.0
19,어머님 제발 본인 탓 아니예 요 자책 마세요ㅠ,0.0
20,빛이라도 없어야 애기랑 살 텐데 어쩌나요 힘 내시구,0.0
21,파산신청하시면 받아들이지 않을까요,0.0
22,아기 목숨 값을 뺏아간 거네,0.0
23,본인이 가진 게 없는데 누가 봐도 괜찮은 남자가 좋다고 하면 의 심부터 해라 제발 ㅠㅠ 상식적으로 말이 안 되는데 왜,0.0
24,꼬냑으로 플람베르쥬해 준비프 콩소 메 한 번 먹어보고 잊지를 못하는 ㅠㅠ 너무 맛있어 보이네요,0.0
25,항상 남을 배려하는 마음이 크게 느껴져요,0.0
26,진짜 좋겠다 이런 남편 둘이 꽁냥 거리는 것도 귀엽다,0.0
27,참착하고 근면하게 생겼네요 아름답습니다,0.0
28,이 거 보니깐 평창에서 우리나라 여자 쇼트트랙 넘어져도 아웃 코스로가뿐하게 1등 한 거 생각나네 역시 끝날 때까지 끝난 게 아니다,0.0
29,끝까지 포기하지 않는 게 중요하다는 걸 느끼게 해준 선수,0.0
30,오늘 포기할까 생각하던 게 있었는데 댓글 보니 울컥 하네요,0.0
31,와 기량이 압도적이다,0.0
32,가장 놀라운 건 5천을 뛰고 나서도 카랑카랑한 저 목소리 대단하다 진짜,0.0
33,제발 이런 놈 처리 좀 해주세요,0.0
34,대단하다 압도적 1위,0.0
35,자신의 실력이 좋아서 이 긴 것을 공공연히 아는 사실임에도 커피 덕분에 운 이 좋아서 우승했다는 말로 겸손함을 표현하고 있음,0.0
36,세상에 어이없 네 여자분 너무 안 탑 깝네요,0.0
37,와 저 인간은 악마다 저 아기 엄마랑 아기는 어 떡 하나 ㅠㅠ,0.0
38,그래서 이 사 연자분 지금은 어떻게 지 내시나요제 발 행복한 일 가득하셨으면 좋겠어요 제발,0.0
39,피해자 분 힘내시고 따님이랑 행복하시길,0.0
40,실명 얼굴 공개 수 배해야 하는 거지 가명은 뭐가 얼굴은 어디 갔나 대체 한국법은 범죄 양성법이 아니고 뭔가,0.0
41,정말 인간도 아닌 짐승보다 못한 것을 만나고 있었네요 자기 아이를 가진 여자에게 사기라니 엄마는 강하니까 아이 보고 힘내세요,0.0
42,여자분이 순진하시네 결혼 전 시 부모 식구들 안 만나봤나,0.0
43,결혼 아기까지 낮게 하는 진화된 사기 수준 참 무섭다,0.0
44,실력을 넘어 인성도 최고일 듯,0.0
