,comments,sentiment
0,만화누가 그렷는지 아시는 분잇나 여 너무 궁금한데 못 찾겟 음,0
1,믿고 듣는 소미 노래,0
2,육식 맨,
3,진짜 설렌다 이쁘다,0
4,전소미하이틴 영화 주인공,0
5,퀸소미,
6,뮤비랑 춤 노래는 딱소미의 색깔이네 요너의 오리지날 리티를 내세운,
7,언니 이번 노래도 역시 너무 좋은 거 같아요 이번 활동 힘내고 무사히 마쳐 요항상 응원합니동,0
8,이게 뭔 노래야,
9,전소미귄카,
10,육식 맨님 보고 왔습니다,
11,진짜 미쳤나 봐 진짜 이제야 하이틴스럽게 하면 어떡해유,
12,육식 맨 보고 오신 분,
13,참 아쉬운 솔로 여가수뜰 거 같았는데 안 떠버린 이번 신곡 컨셉이나 노래가 크게 매력이 와 닿지 않아요다른 노선으로 컨셉 바꿔야 할 듯합니다 이대로 묻히기엔 아쉬운 가수 중 하나,
14,전 이번 노래 컨셉 너무나 좋은데 ㅜㅜ,0
15,가사가 귀에 쏙쏙 박히고 넘조아요,0
16,2311511523118118 양팡나옴,
17,노래 좋구만유 빨리 코로나가 끝나서 음방가고 싶습니다,0
18,아미쳤다 완전 하이틴이잖아 미쳤다 이번에,0
19,육식 맨님 영상 보고 넘어왔습니다,
20,소미님 얼굴이 달라 보이는 건 기분 탓인가,
21,21년인데 아직도 남자 앞에서 연약하고 청초하고 소식해야 하는 모습의 가사라니,
22,하이틴 드라마다 이건,
23,노래 너무 좋아 전소 미짱짱 컨셉 하이틴 크윽,0
24,전소 미살을 너무 많이 뺏네ㅜㅜ 조금만 찌우자ㅠㅠ,
25,다들 가사가 어떻고 그러는데 난 네머리 꼭대기에서 춤을 춰으로 앞가사들을 비꼬는 거예요,0
26,ㅋㅋㅋㅋㅋㅋㅋㅋ,
27,한국말 어딨어ㅋㅋ,
28,금발 진짜 사람 안 같고 바비 인형 같아,0
29,와 전소 미 진짜 바비 인형 같다,0
30,소미야언니가 이걸 지금 30번째 보러 온다면 ㅠㅠ소미야 너무너무 예쁘 다 너무너무 잘 햇다 너의 어떤 모습이든 좋아해 응원해,0
31,내가 알던 전소미 맞음무비 때와는 다른 모습에 깜짝 많이 달라졌네,0
32,소미야하이틴 영화 시리즈로 하나 찍쟈 진짜 어쩜 이렇게 잘 어울리니,0
33,하이틴 영화 같아서 더 좋다 ㅠㅠㅠㅠ,0
34,노래 너무 좋가 ㅠㅠㅠ,0
35,여태껏 나온 소미 노래 중에서 제일 소미 색깔이 돋보이고 매력적인 노래,0
36,찾았다 한국어,
37,한 글 댓글 무조건 추천ㄱ,
38,됐다 이거 다 이건 뜬다 음방 1위 가즈아,0
39,전소미,
40,너무 예쁘다진짜,
41,진짜 미챳네 왜 케이뻐,0
42,표절,
43,더 잘 됐으면 좋겠다 응원해 요포인트 안무 한 번만 봐도 기억에 남아서 좋음근데 델레 알리가 조금 생각나요 ㅋㅋㅋ 이상한 사람 아님 ㅎㅎ 찾아보세요,0
44,옛날에도 이뻤는데 지금은 여신급으로 이쁘네ㅁㅌ 몸매 무엇,0
45,163916세 터키 트렌드,
46,컨셉 잘못 잡은 거 같은데 지금 서양 하이틴이 아니라 한국 시장에 점유율을 올릴 만한 걸 들고 왔어야 하지 않나,
47,컨셉 너무 좋다 ㅠㅠ,
48,소미 미국 하이틴 느낌 완전 낭낭한 데 한국어로 노래 부르니까 너무 좋네 여크 크크,0
49,전시안 666 얘기 나올 텐데도 구태여 그런 상징을 넣는 이유가 뭘까,
50,근데 그런 거 하고 나서부터 다들 잘 되기 시작하더라구요 어쩌면 그냥 의례일 수도 뭣도 모르고,
51,한국인 찾기 힘들었지,
52,여자의 마음이 딴 가사가 있다니 좀 실망,
53,컴백이 다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ기달렸다구ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,
54,대단해,
55,하이틴 그 자체,
56,언니 너무 예뻐용 뮤비엄 청 예뻐요노래 짱 급상승 2위,
57,육식 맨 보고 왔다손,
58,가사가 좀 별로 네 소미는 이쁘고 근데 살 너무 뺀 거 아녀ㅠㅠㅠ 걱정됨,
59,이걸 왜 이걸 이제 들었지 ㅎ소리 지르는 것보다 좋네 섹시 색시,
60,뮤비하이틴 느낌나구 넘좋다,
61,아니 진짜 하이틴 드라마 한편 본 느낌임,0
62,뮤비ㄹㅇ 하이틴 미드 그 자체 ㅠㅠ,
63,소미는 고급미가 잘 어울림,0
64,소미 코디반짝이 진짜 좋아한 닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
