,comment,sentiment
1,전라도사람끼리전라도했네,1
3,실명얼굴 공개 수배해야 하는 거지 가명은 뭐가 얼굴은 어디갔나 대체 한국법은 범죄양성법이 아니고 뭔가,0
4,정말 인간도 아닌 짐승보다 못한것을 만나고 있었네요 자기 아이를 가진 여자에게 사기라니 엄마는 강하니까 아이보고 힘내세요 ,0
5,저런 인간은 남자구실 못하게  거세 시켜야혀,1
6,사기꾼 남자개자식,1
9,개쓰레기천벌받아라,1
10,여자분이 순진하시네결혼전 시부모식구들 안만나봤나,0
11,결혼 아기까지 낮게하는 진화된 사기수준 참 무섭다,0
12,본인이 가진게 없는데 누가봐도 괜찮은 남자가 좋다고 하면 의심부터 해라 제발 ㅠㅠ 상식적으로 말이 안되는데 왜,0
13,아기목숨값을 뺏아간거네,0
14,파산신청하시면 받아들이지 않을까요,0
18,빛이라도없어야애기랑살텐데어쩌나요힘내시구,0
19,우리나라 법,0
20,그렇게 돈 많은 왕자님은 일반인과결혼 안 합니다 그냥 사기꾼 입니다,0
21,애기까지  ㅉㅉㅉ여자인생 망쳐놨네,0
23,이런 인간들 신상공개 좀 되게 법 좀 바꼈으면 당한 사람은 무슨 죄야,0
24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ저런놈한테 속는 능지 ㅋㅋㅋㅋ,1
25,저러고 또 몇년 살다 나온다는게 문제네요 죗값을 무겁게 받아야 하는데 ㅠㅠ,0
27,아 진짜 너무 분노가치밀어오른다 ㅠㅠ무섭다 진짜,0
28,사기꾼들 하는 행동을몽땅 믿고 좋아했넹그남자 계획은딸 낳을때 까지 목적 달성  끝 ㅎ,0
29,저 남자는 사기 잘당할것같은 여자를 결혼 상대로 선택했네요 에휴,0
31,이강백작가의 결혼 실사판인가,0
33,사기 형량이 적으니 우리나라에는 사기꾼이 이리 많은거임,0
35,답답할노릇입니다 안타깝습니다 부모도 포기한 자식같군요 파렴치한사기꾼입나다 남자잘못만나 천사같은아이까지에휴,0
38,남의집안 풍비박산 내고 천벌을 받을거다,0
39,완전 선수네 선수,0
40,저렇게 잘난 남자가 왜 널 만나냐 ㅋㅋ,1
41,난 결혼 안할건데 아무튼 불쌍하다,0
42,아무리 사랑해도 돈 해달라는 남자는 믿고 걸러야지,0
43,돈먹으려고먹튀한거네,0
44,사기당한건데멀찾는데 등신아,1
45,개새끼 나같으면 얼굴보자마자 죽인다,1
46,애가 불쌍하다 너무,0
47,혼인신고도 안했단건가요,0
49,어머님 제발 본인 탓 아니예요 자책 마세요ㅠ,0
51,제발 이런놈 처리 좀 해주세요,0
52,전형적인 사기꾼이네,0
54,너무 착하시다ㅠㅠ엄마니까 더 강해져야 해요충분히 잘 키울 수있어요관공소 도움 다 받으시구 양육비 청구소송하시구 일두 구하세요정신 딱 차리셔야합니다,0
55,처음부터 작정하고 사기친 거네여자분이 너무 착해서 당하신듯,0
56,여자 제대로 뒷통수쳤구나생명까지 있는데 어떻게 살라구,0
57,엄마가 건물주라고 하지않았나 그것도 거짓말인가,0
58,많은 여자들이 이걸 꼭 시청해야된다,0
59,얼굴공개해줘라 ,0
63,한녀가 왕자님 꿈꾸다 골로 가는 영상ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
65,와 세상에 이런 개같은 경우가 ㅠㅠㅠ 피해자분 힘내세요 미친새키 정상아니네요,0
66,사기결혼미친새끼네,1
67,사기칠거면 선은 지켜라 애기는 무슨 잘못이냐 씨발놈아,1
72,돈을달라고 주면 안돼남편이라두힘내세요,0
73,한여자의 인생을 완전히 저리도 비참하게 할수가 있나  돈이 아무리 좋아도 저건 인간이길 포기한 짓이다,0
