comments,sentiment
도티 안보는데 왜뜨냐 개빡치네💢💢💢💢,1
김준호 골프 사건이후 인생 ㅈ됏는데 저렇게 거만하니 ㅈㄴ 4가지없네,1
저남자연예인누구에요쓰래기네,1
구라를 믿는놈도 있네ㅋㅋ<br>뇌가 우동사리임?,1
나쁜놈🤬,1
ㅋㅋ 짜고 한건데 이렇게 받아드리는 진.지.충,1
김준호 우엑,1
죽여버릴껴 (참고로저초4),1
정의봉으로때리고십다,1
애휴 돝티 수준ㅉㅉ,1
야XXX야,1
김준호 팬인데 저주우우 (김준호),1
김준호는 처음개콘 봤을때 관객과시청자들을<br>웃음을 주었었는데... 세월이흐르니까<br>왠지....&quot;콜록!!&quot;뭐라고...답해야하죠?<br>재수없어졌다? 내눈만버렸다? 태도가불성실해..,1
김준호 죽어서 따라가서 괴롭힐꺼야,1
김준호님 니 앞가림이나 하세요.ㅋㅋ,1
아 OO짜증나네,1
아 깜짝이야 진짜 빠따들고 유명연예인 죽이러 갈뻔,1
김준호 못생겼다,1
에잉 이제 좆망,1
아주 후라달년들만 모아놨네ㅋ,1
서인영 극혐,1
난 장윤정 너무너무~ 싫어<br>코맹맹한소리~   도씨 아이들까지도 영 아니더라(,1
김영희 잰 지가 몬 스타~~~인줄 착각도 대착각했지,1
ㅎㅎㅎ김영희 니가이혼을왜걱정해 결혼도못할껀데,1
색츄얼스 진짜 수위 지리긴함 ㅋㅋㅋ 여자애들 그냥 다ㅂㅓㅅ고 보여주네 ..,1
색츄얼스 &amp;lt;&amp;lt; 유튜브에 밤에 한번씩 진짜 개야한거 올려ㅆ다가 내리던데 난 한번씩 봄 ㅋㅋㅋㅋ,1
조혜련 김영희는 그냥 티비서 보면 밥맛 떨어짐  티비 나오는 순간 바로 채널 돌림,1
솔비도 ㅈㄴ싫은데,1
"난 맹승지 괜찮던데..서인영, 김신영, 이효리,  송가인 싫음",1
은지원은 먼빽이길래 극혐이미지에도 방송서 저리챙겨줄까 ㅎ,1
서인영은 세계최고 인성쓰레기인거 다알테고<br>김영희 나혼자산다에 자랑하듯 벤츠끌고다니는거 나오고나서<br>진짜 저러고 어떻게 숨쉬고<br>살고있을까 진짜한심했다<br>생각이라는걸 조금만해도<br>욕은덜먹을텐데 저렇게생각없이 살라고 시켜도<br>난 절대못할거같은데..,1
김영희가 나혼자 산다에 나온적이 없는데 뭔<br>이연희 너같은 쓰래기도 사는데 김영희같은 사람이 못살건 없지 ㅋ 왜 이런말하면 김영희니? ㅋㅋㅋ<br>느그앱1앰 랑 목숨을 끊어,1
제발함소원좀안바쓰면조겠어요,1
김영희 극혐,1
개독 정선희 이성미 <br>조혜련 이경실 이영자 저질 쓰레기년들 좀 치워라,1
"김영희 말고도 라미란, 송은이, 김숙, 김신영, 신봉선, 이국주, 안영미, 정주리, 이세영(개그맨) 다들 남자연예인 성추행 전과가 있는데 발정난 상태로 방송활동중..",1
이 효리 정선희 조혜련 김미화<br>그밖에도 다수있지만 이여성들만<br>안봐도 즐거울것,1
안경받고해씨쌕기야,1
걍 닥치고 서인영미만잡,1
김영희 와꾸 인성 완벽,1
조혜련 이경실  참 뻔뻔 하구 온갖사생활등 개 비호감 안나왔으면제발,1
김영희는 진심 남자들다싫어하더라ㅋㅋ유튜브팠던데 존나병신같은거하던데,1
김영희 외모부터 행실까지 세트로 비호감,1
이유튜보 존나 자극적임 개싫어 망해라~~연예인 과장해서 팔아먹고 돈빠는 년들 개싫어,1
대한민국 개썅국민원탑.국민썅년 ! 빨갱이김미화년 !!!,1
"이경실, 조혜련, 이국주..토나오게 싫은 비호감  탑3..",1
전라도년이면  떳을낀데  경상도출신이라  좆된거임,1
셀럽파이브 자체가 극혐들,1
서인영 요고요고 만약 나한테 싸가지없이 깝치다 걸렸으면 반 죽도록 때려줄수 있는데!!! 진짜 무서운사람 못만나봐서 겁대가리 상실했지?,1
시킨놈이나 시킨다고 하는년이나.....ㅉㅉ 대가리 필터링이 안되시나????<br>그리고 저런애들 쉴드치는애들은 진짜 개노답이다 ㅉㅉ,1
마지막년 안나온께 좋드마,1
개국주 왜 없지?,1
김영희 &amp; 서인영... <br>진짜 선인영 같은 쓰레기좀.... 플리즈,1
이년들 어디 가서 몸이라도 팔 수 있으면 다행이겠네요.,1
김영희 개싫음,1
이국주 좀 그만나와라 존나 꼴보기 싫다,1
ㅋㅋㅋㅗ😁ㅗ,1
은지원개극혐인데잘나가네,1
여자들은 군입대해야함 쌍년들ㅋㅋㅋ,1
"서인영,조혜련,조형기,조영남,김영희...인간 쓰레기들...아 또 하나있네 스티붕유",1
윤손하도있지 맘충의  대명사  현재  이  시간까지도  반성따윈<br>  씨래기국에  말아개처먹음,1
김영희~밥맛뚝~,1
정신희 극혐 다시좀 파봤으면 좋겠네,1
조유영 저런년 당신은 팔보채...,1
개 씨발년들....가랭이를 공구리 치야함,1
갠적으로  이국주가 비호감 탑으로 뜰거임 이국주 관상이 그래,1
혐유영 ㅎㅎ 하는짓이 조국스러웠음,1
김영희는진짜 쓰레기..마인드자체가 쓰레기,1
김영희 진짜 무개념 이기적 발상녀의 끝판왕이지,1
승지같은 애들이 여경해서 체력쓰래기에 머만하면 방관 범인제압은 커녕 안처맞으면 다행인거야 아휴 싀발 짜증나 여자 머??,1
"<a href=""https://www.youtube.com/watch?v=vXumkyWxnrA&amp;t=1m03s"">1:03</a> 맞는말 한거 아닌가 ?ㅋㅋ 여경,여자 장교들 ㅂㄷㅂㄷ 거릴듯",1
이국주???? 김국주 ????  턱주가리 돼지년 이년 진짜안보고싶음 개싸가지,1
한명 추가요 김완선 완전 밥맛.,1
"김미화나,김규리같은 썩어빠진 정치연예인은 너무 잘나가는게 신기.....<br>남북철도무슨 이사???",1
"방 가들이나,<br>대형 기독교 교회,조직 폭력단등에서<br>자신들만의 자가용으로 만들려고<br>사회에서 매장시키는 방법도 있슴.<br>사회에 공분을 일으킬 어떠한 행동을 하라고 시킨 후(연예인 대부분이 뇌가 많이 빈 사람이 많죠),오도가도 못하는 여자연예인에게 큰 은혜를 베풀듯이 생색내며 완전 포로로 만들죠.이때부터는 현대판 성 노예가 되면서 대중들로부터는 잊혀져 가죠.<br>과거처럼 옴쭉달쭉 못하게 하지 않지요.어느 정도 사회 활동을 용인하나 지극히 개인적인 활동을 못하게 하지요.",1
이경실은 코로 응응 거려<br>얼마나 듣기싫은지 모름,1
김영희는 영원히 안보였으면 좋겠다 ㅋㅋㅋ,1
김영희 전나 비호감 나오지말길,1
김영희 밥맛이던데 안나오니좋네,1
옥주년?ㅎㅎㅎㅎ 처까불다  다골로간다 연극하지?티비 못나오고ㅎ,1
서인영~~~~맹승지~~~~~띨띨한년들~~~~ㅋㅋㅋ,1
구라라 씹인영 태보련 빻영희 4대장,1
이대나온년들 건방지고 재수없다 .개념없이 나대고,1
이국주는 다시 잘나오던데 페미 메갈들이 좋아 해서 그런가 자기랑 닮아서,1
저도정형돈나오면채널돌림,1
이휘재 정준하 조형돈 하하 나옴 채널 돌림,1
개인적 비호감 끝판왕 : 조혜련 김영희 서인영 정선희 안선영 클라라 이경실 이성미,1
이국주나 안나왔으면 좋겠다;<br>성희롱년,1
김영희는 개극혐!!,1
여자는 이래요... 여자는 이혼할때를 대비해야한다... 그럼 여자는 남여 구분없는 그 본분의 맡은바 의무에만 충실해야하는 군.경찰과 공무원은 물론 모든 직업을 가지면 안되겠네.<br>모든 직업은 그 직업에 충실하고 그 직업에 맞는 직업인을 원하지 무슨 공창이나 매춘을 하기위한것도 아닌데 일을 하는데 있어서 여자 남자를 구분하는것 자체가 바닥 마인드에 뼈속까지  <br>빌붙어 살려는 거지근성인거다. 그리고 이혼을 생각하면서 결혼할바에는 집안에까지 영향을 주는 결혼을 하지 말고 그냥 혼자살거나 동거나 하다가 헤어지고 또 동거하면서 <br>결국은 혼자 쓸쓸히 늙어가는 동거에서 독거로 독거에서 고독사로 흘러가는 인생 살아야지뭐...,1
홍진영도 비호감,1
왕지현 화교출신,1
김영희는 저 상다구에 멀해쳐먹고살까?,1
걔넨 비호감이 아니라 범죄자년들 이잖어ㅋㅋ,1
김영희는 진짜 씹쓰레기지..애미란 것도 그렇고..,1
조썅련 없네,1
븅신년 서인영은 없나?,1
은지원은 왜이리  자주나오냐  좀  짜져라,1
서인영은 비호감을 넘어서 그냥 혐오 자체라서 빠진듯 ㅋㅋㅋㅋㅋㅋㅋ<br>서인영 본인 성격 싸가지 없는걸 기가 쌔다라고 착각하는 수준이니...ㅉㅉㅉ,1
ㅉㅉ 쪼다들,1
햐...이국주라.생각만해도속이언치는불편한느낌넘싫은걸넘어서트리우마까지생긴다,1
눈을 강간당하는 기분,1
김영희진짜재수없다,1
김영희 개싫어 ㅅㅂ ㅋㅋ,1
개중기 적당히 해라 토 나온다,1
송혜교나 송중기나  끼리끼리 만났었구만 ㅅㅂ ㅋㅋㅋ,1
송중기 저리안봤는데 역겹네 왜저래?<br>이종석은 ㅋㅋㅋ주제파악좀해라 지가잘생긴줄 아나봐,1
이종석은 원래 말많았ㄴ데 얼빠새끼들이 빨아주는게 너무 심함 ㅇㅇ,1
이종석〓그냥싫다,1
아이유를 건드냐? 미쳤네 아이디어 낸걸 짜증났다고? 대가리 비어서 조금 찍고 돈 받을 생각이었나본데 이종석 ㅈㄴ 무뇌인증이네,1
이저ㅇ석 존나 찐따같이 샹기지 않았녀. 존나 못생곀ㅅ눈데 왜 좋아하지? ㅋㅋㅋ,1
공통점은 빨갱이들,1
