,comments,sentiment,tokens
0,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나도 왠지 원래 가격이 20만원이란 소리 아닌가 생각했는데 ㅋㅋㅋㅋㅋㅋ,0.0,"['ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '나도', '왠지', '원래', '가격', '이', '20만원', '이란', '소리', '아닌가', '생각', '했는데', 'ㅋㅋㅋㅋㅋㅋ']"
1,저런 언론은 본 적 있는지,0.0,"['저런', '언론', '은', '본', '적', '있는지']"
2,해외 반응 그래 글 뿐이 아닌 이런 걸 원했다고,0.0,"['해외', '반응', '그래', '글', '뿐이', '아닌', '이런', '걸', '원했다고']"
3,열정이 퐉 느껴진 다 기분이 좋네 ㅎㅎ,0.0,"['열정', '이', '퐉', '느껴진', '다', '기분', '이', '좋네', 'ㅎㅎ']"
4,나도 이런 선수는 본 적 없다 ㅋㅋㅋㅋㅋㅋㅋ,0.0,"['나도', '이런', '선수', '는', '본', '적', '없다', 'ㅋㅋㅋㅋㅋㅋㅋ']"
5,너무 잘한 다 우리 새끼들,0.0,"['너무', '잘한', '다', '우리', '새끼', '들']"
6,아까 식당 서 봤던 거넹 멋지더라 스타일도,0.0,"['아까', '식당', '서', '봤던', '거넹', '멋지더라', '스타일', '도']"
7,새끼 호랑이 포효하는 모습 같아 귀엽네요 ㅎㅎ,0.0,"['새끼', '호랑이', '포효', '하는', '모습', '같아', '귀엽네요', 'ㅎㅎ']"
8,양궁 결승전에서 한국팀을 만나 은 메달을 따는 경기 라고 누가 그러던데 무릎을 쳤다,0.0,"['양궁', '결승전', '에서', '한국', '팀', '을', '만나', '은', '메달', '을', '따는', '경기', '라고', '누가', '그러던데', '무릎', '을', '쳤다']"
9,다음 올림픽에 새로운 규정 생길 듯 화이팅 못하게 ㅋ,0.0,"['다음', '올림픽', '에', '새로운', '규정', '생길', '듯', '화이팅', '못', '하게', 'ㅋ']"
10,티비에 많이 나오것 구만 인재,0.0,"['티비', '에', '많이', '나오것', '구만', '인재']"
11,오 급 상승 1위,0.0,"['오', '급', '상승', '1', '위']"
12,간접적으로라도 경험해 본 적 없으면 저 긴장감을 알리 없지,0.0,"['간접', '적', '으로라도', '경험', '해', '본', '적', '없으면', '저', '긴장감', '을', '알리', '없지']"
13,우리나라 양궁 선수들은 스트레스가 엄청날 듯 금메달 따면 응 당연한 거 아냐 이러고 못 따면 완전 역적이 되버리니,0.0,"['우리나라', '양궁', '선수', '들', '은', '스트레스', '가', '엄청날', '듯', '금메달', '따면', '응', '당연한', '거', '아냐', '이러고', '못', '따면', '완전', '역적', '이', '되', '버리니']"
14,알았어 짱구야,0.0,"['알았어', '짱구', '야']"
15,주먹밥쿵 야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아개 웃겨,0.0,"['주먹밥', '쿵', '야', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '아', '개', '웃겨']"
16,진짜 깡다구 없으면 저 자리에서 저렇게 쏘지 못하지 대견 하내,0.0,"['진짜', '깡다구', '없으면', '저', '자리', '에서', '저렇게', '쏘지', '못', '하지', '대견', '하내']"
17,첫 출전에 금메달 ㄷㄷ 앞으로도 기대되는 선수들이네요,0.0,"['첫', '출전', '에', '금메달', 'ㄷㄷ', '앞', '으로도', '기대', '되는', '선수', '들이네요']"
18,국뽕 진짜 ㅋㅋㅋㅋ 다른 나라 반응 올려서 조회수 달달 하네,0.0,"['국뽕', '진짜', 'ㅋㅋㅋㅋ', '다른', '나라', '반응', '올려서', '조', '회수', '달달', '하네']"
19,아자구리 파이팅,0.0,"['아자', '구리', '파이팅']"
20,이제 한국 복귀해서 광고 찍는 일만 남았네 제덕이,0.0,"['이제', '한국', '복귀', '해서', '광고', '찍는', '일만', '남았네', '제', '덕이']"
