,0
36111,애초에 저렇게 면도기 들고하면 피부만 까질텐데 면도날로해야지 저거 다 연기구만
36112,눈빛맨
36113,아마도 윤모가 민석이 찔러서 민석이도 타부대로 갈 예정이였는데 아빠가 잘 막아줘서 병호있는 소대로 갈듯
36114,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=3m21s"">3:21</a> 옷 널브러뜨려논거 돌려차기 마렵네 ㅅㅂ"
36115,와씨...개오바
36116,ㄷㄷ...
36117,실제로 일부러 저렇게 해서 나간 애가 있어서 더 소름 돋네
36118,내가 전편에서 일부러 모자란척 하는 유주얼 서스팩트 있다고 댓글 달았었는데 역시나ㅋㅋ<br>딱 보면 각 나오지 않나<br>진짜 소심하고 모자란  애들은 그래도 하려고 노력은 한다<br>근데 지 생각처럼 안되니 애가 자꾸 기가 죽는거고 <br>저런부류는 어떻게 하면 편하게 지낼까 ?어떻게 해야 하루빨리 의병전역할까 ?그 궁리하는거임<br>열외의식 쩔어
36119,ㅌㄱㅌㅌㄱㅌㄷㅌㅌㅌ개리얼하다
36120,얼싸좋?
36121,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=4m27s"">4:27</a> ???:야 이 미친 새X야!!!!!!!"
36122,박민성을 통해 저눔을 처네려는 작전이여 이건 다른 의미로 빡치게해서 보넬라는 작전
36123,와 나 9년전에 있었던 관심병사랑 똑같네 ㅋㅋㅋ 그 새끼도 창고에서 자해하고 잘때 전기줄로 자기 목 조르고 그랬는데 ㅋㅋㅋ
36124,근데 이건 윤모를 군대보낸 나라가 잘못된거임. 나라를 지키는데 개병신을 보내는데 병신을 탓해야하냐 나라를 탓해야지
36125,영화 창  생각나게 만드네
36126,윤모 딱 브베의 군생활을 보여주는것같다
36127,저런 후임오면 난감하지 갈구지도 못하는데 도움도 안되고 .. 후..
36128,나도 선임병으로 동행해서 그린캠프 갔다왔는데 저거 ㄹㅇ임. 멀쩡한데 연기하는 애들 많다.. 갔다와서 얘 상태 보고서 쓰라고 해서 솔직하게 멀쩡하다고 썻더니 간부한테 쿠라리 존나 먹음. 서로 좋은게 좋은거라고 그냥 보내주자고.. 그때 병장 되자마자 였는데.. “여태까지 난 뭐한다고 이렇게 복무했지?” 현타 오지게 왔다.
