,0
72222,재수사들어가고 강력처벌해라 인간이 아니다 아주 분리수거가 안되는 쓰레기다
72223,"사람은 죽으면 그냥 사라지지않습니다. 죽고나면 영혼이 영원히 살아가게됩니다. 천국과 지옥, 둘중 한곳으로 가게됩니다. 당신도 저도, 모두가 그 죽음을 곧 맞이하게 됩니다. 지옥에 갈 당신의 죄를 위해 예수님이 대신 십자가에서 죽으셨다는 사실을 믿으셔야 합니다.<br>이르되 주 예수를 믿으라 그리하면 너와 네 집이 구원을 받으리라 하고 (행 <a href=""https://www.youtube.com/watch?v=5xlPDyycgqY&amp;t=16m31s"">16:31</a>)​"
72224,보험그을가져갓다.도둑잡아라.나라가.이런일을금지시겨야한다.보험그을가로져다사기군이다빠리잡아라도둑을그냥나도<br>죽어서도천배만배분통터져서저승도못가갯다.머하냐정치인들.연애ㅣ개에는소중한인제들은.이런개방치할수없어.하루속이발혀서.소속사.사기꾼을잡아서
72225,살인은 첨인걸.... 후.... 긴장하지말고 목부터 치는거야^^
72226,"소속사  참  도둑놈들 이구만,,"
72227,경찰 진짜 답답하다.<br>수사권을 주면 안되것다
72228,사망보험금을 왜소속사가 처가지고가냐? 여기부터 개어이없네.
72229,"이런 무서운 생각이 드네요..<br>‘무리해서 가서 행사하면 좋고, 무리해서 가다 사망 사고 나면 보험금 받으니 좋고..’ 소속사 사장 이런 생각한건 아닌지…"
72230,진짜 개같은.. 입에 담을 수 없는 욕이 절로나온다
72231,고속도로 진입 cctv 기록시간과 진출 cctv 기록시간 확인하면 바로 차량 평균주행속도 나올텐데 저걸 왜 경찰 방송 아무도 확인을 안했는지 도무지 이해가 되질 않네요.
72232,@하나님의사랑은혜 30년전이 아닌데
72233,30년전에는 없었음
72234,개고생만 하다가 어린나이에 일찍 갔구나... 너무 안타깝습니다
72235,노예계약제도를 폐지해야 합니다<br>법관님들 이런 법을 안만들고 뭐하세요<br>법을 악용하는 자는 10년이상 징역형을<br>내려야 합니다 보이지 않게 당하는<br>연예계 피해자가 너무 많은것으로 압니다
72236,LHLHLH
72237,세상에 ..<br>돈에 그렇게 미쳐서 살아봐요 <br>늙고 힘없어질나이되면 <br>반드시 죄값치르게되있습니다 <br>인과응보 가 없는거같고<br>지금 배부르다고 영원할거같죠 ㅎ<br>두고보세요 <br>자식들 가족들 고통받고<br>할 날와요 근데 그들은 이유도모르죠<br>결론적으로 이런 인과응보의 이치가있다는것을<br><br>삼가 고인의 명복을 빕니다 ()
72238,그 기획사 조만간 깡통찬다 답이다...
72239,도둑놈 기획사
